Order No. by Month,Client Name,PO Number,PO Received, Amount (IDR) Without Tax 11 % , Amount (USD) , Amount (AUD) ,Contact Person,DP Paid,Balance Paid,Total Monthly Amount (IDR),Total Monthly Amount (USD),Total Monthly Amount (AUD)
1,Intercontinental Jimbaran,PO 58066,03/Jan/25," IDR 24,000,000 ",,,,,,,,
2,Tejaprana Bisma,P241226002,03/Jan/25," IDR 40,240,000 ",,,,,,,,
3,Nihi Sumba (Mug),PO 202412-12582,03/Jan/25," IDR 7,000,000 ",,,,,,,,
4,BGS Sample,,03/Jan/25," IDR 235,000 ",,,,,,,,
5,Four Season Sayan SPA,UBU0148191,04/Jan/25," IDR 24,750,000 ",,,,,,,,
6,Fairmont Jakarta,PO2501-00788,10/Jan/25," IDR 167,300,000 ",,,,,,,,
7,Ayana Midplaza Jakarta ,2024167089,10/Jan/25," IDR 7,000,000 ",,,,,,,,
8,PT Indoguna Utama,PO21491,10/Jan/25," IDR 25,175,000 ",,,,,,,,
9,CV. Pasar Tani Indoguna,PO21492,10/Jan/25," IDR 10,070,000 ",,,,,,,,
10,CV. Pasar Tani Indoguna,PO21493,10/Jan/25," IDR 10,070,000 ",,,,,,,,
11,CV. Palembang Boga Utama,PO21494,10/Jan/25," IDR 10,070,000 ",,,,,,,,
12,CV. Bandung Boga Utama,PO21495,10/Jan/25," IDR 10,070,000 ",,,,,,,,
13,CV. Cipaku Boga Utama,PO21496,10/Jan/25," IDR 20,140,000 ",,,,,,,,
14,CV. Surabaya Boga Utama ,PO21497,10/Jan/25," IDR 10,070,000 ",,,,,,,,
15,CV. Bali Boga Utama,PO21498,10/Jan/25," IDR 10,070,000 ",,,,,,,,
16,CV. Makasar Boga Utama,PO21499,10/Jan/25," IDR 10,070,000 ",,,,,,,,
17,Balikpapan Boga Utama,PO21500,10/Jan/25," IDR 10,070,000 ",,,,,,,,
18,32 Do Bali Restaurant,1239,10/Jan/25," IDR 7,000,000 ",,,,,,,,
19,Nihi Sumba (Curry Bowl),PO202501-00371,15/Jan/25," IDR 25,200,000 ",,,,,,,,
20,Bali Radiance ,PO 13483,15/Jan/25," IDR 39,600,000 ",,,,,,,,
21,Six Senses Con Dao,PO 03713,15/Jan/25,," USD  5,707.00 ",,,,,,,
22,Japa Ubud,,16/Jan/25," IDR 106,600,000 ",,,,,,,,
23,Dragonfly Villa,,16/Jan/25," IDR 40,236,000 ",,,,,,,,
24,Dragonfly Villa SAMPLE,,21/Jan/25," IDR 225,000 ",,,,,,,,
25,VDA,,21/Jan/25,," USD  24,443.10 ",,,,,,,
26,Sandy Toes,,21/Jan/25,," USD  5,648.85 ",,,,,,,
27,Mandarin Oriental Bali,095/HCB/I/2025,21/Jan/25," IDR 23,745,000 ",,,,,,,,
28,Mandarin Oriental Bali SAMPLE,098/HCB/I/2025,21/Jan/25," IDR 1,040,000 ",,,,,,,,
29,Greek Restaurant In Uluwatu,,22/Jan/25," IDR 327,341,500 ",,,,,,,,
30,Made By Rumah SAMPLE,,23/Jan/25," IDR 300,000 ",,,,,,,,
31,Ayana Hospitality,2025008470,23/Jan/25," IDR 630,613,380 ",,,,,,,,
32,Nihi Sumba (LAMP),202501-00304,23/Jan/25," IDR 17,500,000 ",,,,,,,,
33,Bali Radiance ,13546,23/Jan/25," IDR 46,800,000 ",,,,,,,,
34,Kaia Restaurant,,23/Jan/25," IDR 16,700,000 ",,,,,,,,
35,Chella Uluwatu,,23/Jan/25," IDR 199,865,000 ",,,,,,,,
36,Cafe Kistune ,,27/Jan/25," IDR 69,550,000 ",,,,,,,,
37,Ginger Moon,,27/Jan/25," IDR 4,440,000 ",,,,,,,,
38,Drifter,,27/Jan/25," IDR 4,480,800 ",,,,,,,,
39,Nihi Sumba SAMPLE,,27/Jan/25," IDR 4,925,000 ",,,,,,,,
40,Motel Mexicola,,28/Jan/25," IDR 196,600,000 ",,,,,,,,
41,The Meru Sanur ,21659,29/Jan/25," IDR 35,750,000 ",,,,,,,,
42,The Meru Sanur ,21660,29/Jan/25," IDR 48,000,000 ",,,,,,,,
43,The Meru Sanur ,21662,29/Jan/25," IDR 73,825,000 ",,,,,,,,
44,The Meru Sanur ,21707,29/Jan/25," IDR 48,050,000 ",,,,,,,,
45,Solana Retreat Ubud,,30/Jan/25," IDR 27,700,000 ",,,,,,,,
