      ,Client Name,PIC,Quotation Out,Qty (Pcs), Amount (IDR) , Amount (USD) , Amount (AUD) , Amount ( EUR ) , Amount (SGD) , Remark ,Contact Person,Send By,Inquiry,Remark
,,,Purchase Order Received,,,,,,,,,,,
,,,Canceled Purchase Order,,,,,,,,,,,
,,,Order is on hold,,,,,,,,,,,
,2024,,,,,,,,,,,,,
,JANUARY,,,,,,,,,,,,,
1,Maya Tree Bar Sanur - Breakfast,,02/Jan/24,," IDR  69,084,000 ",,,,,,,,,
2,Micha Sanubari,,02/Jan/24,," IDR  34,800,000 ",,,,,,,,,
3,Four Season Sayan IVD,,03/Jan/24,," IDR 264,275,000 ",,,,, Received PO (25 Jan),,,,
4,Bali Radiance (Four Season Jakarta),,04/Jan/24,," IDR  41,200,000 ",,,,, Received PO (30 Jan),,,,
5,Kala Uluwatu,,04/Jan/24,," IDR  149,600,000 ",,,,, Received PO (4 Jan),,,,
6,Bokashi - Pererenan,,05/Jan/24,," IDR  1,620,000 ",,,,,,,,,
7,Bottega,,05/Jan/24,," IDR  13,750,000 ",,,,, Received PO (11 Jan),,,,
8,Suarga,,05/Jan/24,," IDR  2,250,000 ",,,,, Received PO (9 Jan),,,,
9,Bakerman,,05/Jan/24,," IDR  48,600,000 ",,,,, Received PO (9 Jan),,,,
10,Canton PIK,,05/Jan/24,," IDR  6,660,000 ",,,,, HOLD as per client request,,,,
11,Bokashi  (Teapot),,09/Jan/24,," IDR  3,600,000 ",,,,, Received PO (8 Jan),,,,
12,Pablo Longtime Restaurant,,09/Jan/24,," IDR  223,400,000 ",,,,,,,,,
13,Alila Villas Uluwatu,,09/Jan/24,," IDR  24,620,000 ",,,,,,,,,
14,Ku De Ta,,09/Jan/24,," IDR  40,200,000 ",,,,,,,,,
15,Joali Being,,09/Jan/24,,, USD  675.00 ,,,,,,,,
16,Ashley Miller USA,,09/Jan/24,,," USD  2,031.00 ",,,, Received PO (11 Jan),,,,
17,Fieldwork,,09/Jan/24,," IDR  168,200,000 ",,,,,,,,,
18,Maya Tree Bar Sanur - Breakfast Additional,,10/Jan/24,," IDR  18,354,000 ",,,,, Received PO (15 Jan),,,,
19,Raffles Bali,,10/Jan/24,," IDR  127,400,000 ",,,,,,,,,
20,La Plancha,,11/Jan/24,," IDR 22,500,000 ",,,,, Received PO (23Jan),,,,
21,Sijin (Kalpataru),,11/Jan/24,," IDR  7,840,540 ",,,,, Received PO (12 Jan),,,,
22,Sharon Frances,,11/Jan/24,," IDR  15,440,000 ",,,,, Received PO (15 Jan),,,,
23,Umalas Hotel Siganature - Celeste,,12/Jan/24,," IDR  258,360,000 ",,,,,,,,,
24,Umalas Hotel Siganature - Aroi,,12/Jan/24,," IDR  281,710,000 ",,,,,,,,,
25,Nihi Sumba (Mug),,15/Jan/24,," IDR  3,360,000 ",,,,,,,,,
26,Ritz Carlton Bali (Oil Burner),,15/Jan/24,," IDR  7,920,000 ",,,,,,,,,
27,Alila Jakarta,,15/Jan/24,," IDR  27,600,000 ",,,,,,,,,
28,MG Hotel Supplies - Ossiano,,15/Jan/24,,, USD  480.00 ,,,,,,,,
29,Indigo Seminyak ,,15/Jan/24,," IDR  8,400,000 ",,,,,,,,,
30,Ku De Ta (Teapot),,16/Jan/24,," IDR  11,340,000 ",,,,,,,,,
31,Renarte ,,16/Jan/24,,, USD  21.20 ,,,,,,,,
32,Kanvaz Patisserie,,16/Jan/24,," IDR  4,440,000 ",,,,,,,,,
33,La Brisa,,16/Jan/24,," IDR  4,560,000 ",,,,,,,,,
34,Barbacoa,,17/Jan/24,," IDR  10,000,000 ",,,,,,,,,
35,Lombok Lodge,,17/Jan/24,," IDR  61,000,000 ",,,,,,,,,
36,MG Hotel Supplies (Royal Atlantis),,17/Jan/24,,, USD  348.00 ,,,, Received PO (17Jan),,,,
37,Ayana Rock Bar ,,17/Jan/24,," IDR  204,036,250 ",,,,, Received PO (31Jan),,,,
38,Nihi Sumba - Inroom ,,18/Jan/24,," IDR  177,060,000 ",,,,,,,,,
39,Optimist Pererenan,,18/Jan/24,," IDR  161,975,000 ",,,,, Received PO (18Jan),,,,
40,La Plancha,,18/Jan/24,," IDR  22,500,000 ",,,,,,,,,
41,Umalas Hotel Siganature - Baka,,19/Jan/24,," IDR  90,600,000 ",,,,, Received PO (30 Jan),,,,
