,client_name,quote_idr,order_idr,Qty (Pcs),quote_to_order_ratio,area,customer_category,quote_category,quote_tier,order_tier,conversion_tier,conversion_range,log_ratio
0,12 Urban Cafe Canggu (Price Indication),232875000.0,0.0,1710.0,0.0,Local,Restaurant,High,High,Low,Low,<0.5,0.0
1,25 Hours Hotel,527050000.0,0.0,0.0,0.0,Local,Hotel,High,High,Low,Low,<0.5,0.0
2,32Do Bali,7000000.0,7000000.0,100.0,1.0,Local,Cafe,Low,Low,Low,Medium,0.5–1.5,0.6931471805599453
3,Abisena,746749250.0,151382500.0,0.0,0.2027219980468678,Local,Hotel,High,High,Medium,Low,<0.5,0.18458731971914502
4,Adiwana Jembawan,32000000.0,0.0,0.0,0.0,Local,Hotel,Low,Low,Low,Low,<0.5,0.0
5,Agave & Azul (PT Vatos Tamora Indonesia),63780000.0,63780000.0,336.0,1.0,Local,,Medium,Medium,Medium,Medium,0.5–1.5,0.6931471805599453
6,Age Butcher Bali,137910000.0,137910000.0,0.0,1.0,Local,Restaurant,Medium,Medium,Medium,Medium,0.5–1.5,0.6931471805599453
7,Akasa Kintamani,154000000.0,0.0,1450.0,0.0,Local,Cafe,Medium,Medium,Low,Low,<0.5,0.0
8,Alila Jakarta,55200000.0,0.0,0.0,0.0,Local,Hotel,Medium,Medium,Low,Low,<0.5,0.0
9,Alila Seminyak,796943600.0,469470000.0,568.0,0.5890881111285667,Local,Hotel,High,High,High,Medium,0.5–1.5,0.46316033669601764
10,Alila Uluwatu,353029500.0,349537500.0,168.0,0.9901084753540427,Local,Hotel,High,High,High,Medium,0.5–1.5,0.6881891474789348
11,Amankila,14095000.0,14095000.0,0.0,1.0,Local,Hotel,Low,Low,Low,Medium,0.5–1.5,0.6931471805599453
12,Amarterra Villas Bali Nusa Dua,0.0,30534000.0,0.0,,Local,Hotel,Low,Low,Low,,,
13,Andaz Bali,65375000.0,79620000.0,278.0,1.2178967495219886,Local,Hotel,Medium,Medium,Medium,Medium,0.5–1.5,0.7965593366823228
14,Anna Kersova,0.0,245602158.0,0.0,,Export,Personal,Low,Low,High,,,
15,Arna Beach Glamping ,89880000.0,0.0,0.0,0.0,Local,Hotel,Medium,Medium,Low,Low,<0.5,0.0
16,Arya Sumba Resort,0.0,38640000.0,0.0,,Local,Hotel,Low,Low,Low,,,
17,Asa Maia,15666000.0,15666000.0,112.0,1.0,Local,Hotel,Low,Low,Low,Medium,0.5–1.5,0.6931471805599453
18,Ayana Bali,3263800880.0,860177500.0,6900.0,0.2635508511781515,Local,Hotel,High,High,High,Low,<0.5,0.23392589331892036
19,Ayana Hospitality,0.0,1192658630.0,0.0,,Local,Hotel,Low,Low,High,,,
20,Ayana Jakarta Mid Plaza,39720000.0,7000000.0,224.0,0.17623363544813697,Local,Restaurant,Low,Low,Low,Low,<0.5,0.1623174993429998
21,BGS,14895000.0,12880000.0,45.0,0.8647197045988587,Local,Restaurant,Low,Low,Low,Medium,0.5–1.5,0.6231107493604481
22,Bakerman,48600000.0,48600000.0,0.0,1.0,Local,Cafe,Low,Low,Low,Medium,0.5–1.5,0.6931471805599453
23,Balcony ,76418000.0,0.0,0.0,0.0,Local,Restaurant,Medium,Medium,Low,Low,<0.5,0.0
24,Bali Asli,15525000.0,15525000.0,125.0,1.0,Local,Restaurant,Low,Low,Low,Medium,0.5–1.5,0.6931471805599453
25,Bali Boga Utama,0.0,48842000.0,0.0,,Local,Restaurant,Low,Low,Low,,,
26,Bali Dorm Villas - Joyce & Ralph,128782000.0,128782000.0,0.0,1.0,Local,Hotel,Medium,Medium,Medium,Medium,0.5–1.5,0.6931471805599453
27,Bali Good Food Catering,51120000.0,51120000.0,0.0,1.0,Local,Restaurant,Medium,Medium,Medium,Medium,0.5–1.5,0.6931471805599453
28,Bali Meraki,0.0,31595000.0,0.0,,Local,Restaurant,Low,Low,Low,,,
