client_name,canonical_names
12 Urban Cafe Canggu (Price Indication),12 Urban Cafe Canggu (Price Indication)
25 Hours Hotel COPPA,25 Hours Hotel
25 Hours Hotel ODDBIRD,26 Hours Hotel
32 Do Bali Restaurant,32Do Bali
32Do Bali,32Do Bali
Abisena - All Day Dinning (disc 5%),Abisena
Abisena - Inroom & Amenities,Abisena
Abisena - Inroom and Amenities (Disc 5%),Abisena
Abisena - Lobby and Lounge (disc 5%),Abisena
Abisena All Day Dining,Abisena
Adiwana Jembawan,Adiwana Jembawan
Agave & Azul (PT Vatos Tamora Indonesia),Agave & Azul (PT Vatos Tamora Indonesia)
Age Butcher Bali,Age Butcher Bali
Akasa Kintamani,Akasa Kintamani
Alila Jakarta,Alila Jakarta
Alila Seminyak,Alila Seminyak
Alila Seminyak ,Alila Seminyak
Alila Seminyak  (Egg Cup),Alila Seminyak
Alila Seminyak (Oval Plate),Alila Seminyak
Alila Seminyak (Update),Alila Seminyak
Alila Seminyak - Lid ,Alila Seminyak
Alila Seminyak - Seasalt,Alila Seminyak
Alila Seminyak Sea Salt - Breakfast & Lunch,Alila Seminyak
Alila Seminyak Sea Salt - Dinner,Alila Seminyak
Alila Seminyak Sea Salt - Seafood Buffet,Alila Seminyak
Alila Seminyak Seasalt - Breakfast & Lunch ,Alila Seminyak
Alila Seminyak Seasalt - Seafood Buffet,Alila Seminyak
Alila Seminyak Sesalt - Dinner,Alila Seminyak
Alila Uluwatu,Alila Uluwatu
Alila Villas Uluwatu,Alila Uluwatu
Alila Villas Uluwatu (Creamer),Alila Uluwatu
Alila Villas Uluwatu - Creamer,Alila Uluwatu
Alila Villas Uluwatu - Sauce dish,Alila Uluwatu
Alila Villas Uluwatu CIRE,Alila Uluwatu
Alila Villas Uluwatu Cire,Alila Uluwatu
Alilla Seminyak Sea Salt - Beach Bar,Alila Seminyak
Amankila,Amankila
Amarterra Villas Bali Nusa Dua,Amarterra Villas Bali Nusa Dua
Andaz Bali,Andaz Bali
Andaz Bali (Creamer),Andaz Bali
Anna Kersova,Anna Kersova
Arna Beach Glamping ,Arna Beach Glamping 
Arya Sumba Resort,Arya Sumba Resort
Asa Maia,Asa Maia
Ayana After Rock,Ayana Bali
Ayana After Rock ,Ayana Bali
Ayana After Rock (Organic Plate),Ayana Bali
"Ayana Bali (6 Outlet - Updated with discount 8,62%)",Ayana Bali
Ayana Bali (Hand Soap Bottle for Spa),Ayana Bali
Ayana Bali (Sambal Dish & Tray),Ayana Bali
Ayana Bali Dava,Ayana Bali
Ayana Bali SPA (Hand Soap Bottle),Ayana Bali
Ayana Bento Box Sample,Ayana Bali
Ayana Dava (Bento Box),Ayana Bali
Ayana Dava - Bento Set (into 1 quote with other outlets),Ayana Bali
Ayana Dava - Toge  (into 1 quote with other outlets),Ayana Bali
Ayana Dava - Toge (Updated) (into 1 quote with other outlets),Ayana Bali
Ayana Hospitality,Ayana Hospitality
Ayana Hospitality (5 Outlet),Ayana Hospitality
Ayana Hospitality (Dava),Ayana Hospitality
Ayana Hospitality Bento Box (Sample),Ayana Hospitality
Ayana Jakarta Mid Plaza,Ayana Jakarta Mid Plaza
Ayana Karang,Ayana Bali
Ayana Karang ,Ayana Bali
Ayana Karang Restaurant,Ayana Bali
Ayana Karang Restaurant (sample),Ayana Bali
Ayana Kisik Restaurant,Ayana Bali
Ayana Kisik Restaurant (into 1 quote with other outlets),Ayana Bali
Ayana Kisik Restaurant SAMPLE,Ayana Bali
Ayana Mid Plaza  Jakarta,Ayana Jakarta Mid Plaza
Ayana Midplaza Jakarta ,Ayana Jakarta Mid Plaza
Ayana Padi (Cup),Ayana Bali
Ayana Padi (Rectangle Plate only) (into 1 quote with other outlets),Ayana Bali
Ayana Resort (Sald & Pepper),Ayana Bali
Ayana Rimba (Dava),Ayana Bali
Ayana Rimba (Toge),Ayana Bali
Ayana Rimba - Toge,Ayana Bali
Ayana Rimba Dava,Ayana Bali
Ayana Rock Bar,Ayana Bali
Ayana Rock Bar ,Ayana Bali
Ayana Sami Sami Restaurant,Ayana Bali
Ayana Sami Sami Restaurant (into 1 quote with other outlets),Ayana Bali
Ayana Segara ,Ayana Bali
BGS,BGS
BGS - Saucer,BGS
BGS Coffee,BGS
BGS Coffee (Updated),BGS
BGS Sample,BGS
Bakerman,Bakerman
Bakerman Ashta,Bakerman
Balcony ,Balcony 
Bali Asli,Bali Asli
Bali Dorm Villas - Joyce & Ralph,Bali Dorm Villas - Joyce & Ralph
Bali Good Food Catering,Bali Good Food Catering
Bali Meraki,Bali Meraki
Bali Radiance,Bali Radiance
Bali Radiance ,Bali Radiance
Bali Radiance (Four Season Jakarta),Bali Radiance
Bali Radiance (Four Season Jakata),Bali Radiance
Bali Radiance (Pump Only),Bali Radiance
Bali Radiance - FS Jimbaran,Bali Radiance
Bali Radiance - Four Season Jimbaran,Bali Radiance
Balikpapan Boga Utama,Balikpapan Boga Utama
Bambootel,Bambootel
Bambootel (updated Logo),Bambootel
Banyan Tree,Banyan Tree
Banyan Tree Buahan ,Banyan Tree
Banyan Tree Buahan (Show Plate),Banyan Tree
Banyan Tree Buahan Additional (sauce dish & teapot),Banyan Tree
Banyan Tree Buahan [Updated],Banyan Tree
Bar Vera Pererenan,Bar Vera Pererenan
Barbacoa,Barbacoa
Barbarossa,Barbarossa
Bawah Reserve,Bawah Reserve
Begawan Restaurant ,Begawan Restaurant 
Belmond Jimbaran Puri,Belmond Jimbaran Puri
Billy Ho,Billy Ho
Blanche Bistro,Blanche Bistro
Bodas Dessert Bar,Bodas Dessert Bar
Bodass Dessert Bar,Bodas Dessert Bar
Boga Utama All outlet,Boga Utama
Bokashi,Bokashi
Bokashi ,Bokashi
Bokashi  (Teapot),Bokashi
Bokashi (Incense Holder),Bokashi
Bokashi - Pererenan,Bokashi
Bokashi Berawa,Bokashi
Bokashi Berawa (Incense Holder),Bokashi
Bokashi Berawa (Teapot),Bokashi
Bokashi Pererenan,Bokashi
Bokashi Pererenan (Coupe Bowl),Bokashi
Bottega,Bottega
Bottega (Revisi),Bottega
Boy and Cow,Boy and Cow
Buahan A Banyan Tree Seascape,Banyan Tree
Buahan Banyan Tree ,Banyan Tree
"Buahan, Banyan Tree Escape",Banyan Tree
Budi Susanti - Personal Order,Budi Susanti - Personal Order
Budi Susanti -Personal Order,Budi Susanti - Personal Order
Buzo Salazon,Buzo Salazon
Buzo Salazon (Will Meyrick),Buzo Salazon
Bvlgari,Bvlgari
Bvlgary,Bvlgari
Bvlgary Bali,Bvlgari
Bvlgary SAMPLE,Bvlgari
CV Bali Boga Utama Jimbaran,Bali Boga Utama
CV Cipaku Boga Utama,Cipaku Boga Utama
CV Makasar Boga Utama,Makasar Boga Utama
CV Palembang Boga Utqma,Palembang Boga Utama
CV Pasar Tani Indoguna,CV Pasar Tani Indoguna
CV Surabaya Boga Utama,Surabaya Boga Utama
CV. Bali Boga Utama,Bali Boga Utama
CV. Bandung Boga Utama,Bandung Boga Utama
CV. Cipaku Boga Utama,Cipaku Boga Utama
CV. Makasar Boga Utama,Makasar Boga Utama
CV. Palembang Boga Utama,Palembang Boga Utama
CV. Pasar Tani Indoguna,CV Pasar Tani Indoguna
CV. Surabaya Boga Utama ,Surabaya Boga Utama
Cafe Kistune ,Cafe Kistune 
