client_name,area,customer_category
12 Urban Cafe Canggu (Price Indication),,
25 Hours Hotel COPPA,,
25 Hours Hotel ODDBIRD,,
32 Do Bali Restaurant,,
32Do Bali,,
Abisena - All Day Dinning (disc 5%),Local,Hotel
Abisena - Inroom & Amenities,Local,Hotel
Abisena - Inroom and Amenities (Disc 5%),Local,Hotel
Abisena - Lobby and Lounge (disc 5%),Local,Hotel
Abisena All Day Dining,Local,Hotel
Adiwana Jembawan,,
Agave & Azul (PT Vatos Tamora Indonesia),,
Akasa Kintamani,,
Alila Jakarta,,
Alila Seminyak ,,
Alila Seminyak  (Egg Cup),,
Alila Seminyak (Oval Plate),,
Alila Seminyak (Update),,
Alila Seminyak - Lid ,,
Alila Seminyak - Seasalt,,
Alila Seminyak Sea Salt - Breakfast & Lunch,,
Alila Seminyak Sea Salt - Dinner,,
Alila Seminyak Sea Salt - Seafood Buffet,,
Alila Seminyak Seasalt - Breakfast & Lunch ,,
Alila Seminyak Seasalt - Seafood Buffet,,
Alila Seminyak Sesalt - Dinner,,
Alila Villas Uluwatu,Local,Hotel
Alila Villas Uluwatu (Creamer),Local,Hotel
Alila Villas Uluwatu - Creamer,Local,Hotel
Alila Villas Uluwatu - Sauce dish,Local,Hotel
Alila Villas Uluwatu CIRE,Local,Hotel
Alila Villas Uluwatu Cire,Local,Hotel
Alilla Seminyak Sea Salt - Beach Bar,,
Amankila,,
Amarterra Villas Bali Nusa Dua,,
Andaz Bali (Creamer),,
Arna Beach Glamping ,,
Ayana After Rock,,
Ayana After Rock ,,
Ayana After Rock (Organic Plate),,
"Ayana Bali (6 Outlet - Updated with discount 8,62%)",,
Ayana Bali (Hand Soap Bottle for Spa),,
Ayana Bali (Sambal Dish & Tray),,
Ayana Bali Dava,,
Ayana Bali SPA (Hand Soap Bottle),,
Ayana Bento Box Sample,,
Ayana Dava (Bento Box),,
Ayana Dava - Bento Set (into 1 quote with other outlets),,
Ayana Dava - Toge  (into 1 quote with other outlets),,
Ayana Dava - Toge (Updated) (into 1 quote with other outlets),,
Ayana Hospitality (5 Outlet),,
Ayana Hospitality (Dava),,
Ayana Hospitality Bento Box (Sample),,
Ayana Jakarta Mid Plaza,,
Ayana Karang,,
Ayana Karang ,,
Ayana Karang Restaurant,,
Ayana Karang Restaurant (sample),,
Ayana Kisik Restaurant,,
Ayana Kisik Restaurant (into 1 quote with other outlets),,
Ayana Kisik Restaurant SAMPLE,,
Ayana Mid Plaza  Jakarta,,
Ayana Midplaza Jakarta ,,
Ayana Padi (Cup),,
Ayana Padi (Rectangle Plate only) (into 1 quote with other outlets),,
Ayana Resort (Sald & Pepper),,
Ayana Rimba (Dava),,
Ayana Rimba (Toge),,
Ayana Rimba - Toge,,
Ayana Rimba Dava,,
Ayana Rock Bar,,
Ayana Rock Bar ,,
Ayana Sami Sami Restaurant,,
Ayana Sami Sami Restaurant (into 1 quote with other outlets),,
Ayana Segara ,,
BGS - Saucer,,
BGS Coffee,,
BGS Coffee (Updated),,
BGS Sample,,
Bakerman Ashta,,
Bali Asli,,
Bali Dorm Villas - Joyce & Ralph,,
Bali Radiance (Four Season Jakarta),,
Bali Radiance (Four Season Jakata),,
Bali Radiance (Pump Only),,
Bali Radiance - FS Jimbaran,,
Bali Radiance - Four Season Jimbaran,,
Balikpapan Boga Utama,,
Bambootel,,
Bambootel (updated Logo),,
Banyan Tree,,
Banyan Tree Buahan ,,
Banyan Tree Buahan (Show Plate),,
Banyan Tree Buahan Additional (sauce dish & teapot),,
Banyan Tree Buahan [Updated],,
Bar Vera Pererenan,,
Barbacoa,,
Bawah Reserve,,
Begawan Restaurant ,,
Belmond Jimbaran Puri,,
Bodas Dessert Bar,,
Boga Utama All outlet,,
Bokashi,,
Bokashi ,,
Bokashi  (Teapot),,
Bokashi (Incense Holder),,
Bokashi Berawa (Incense Holder),,
Bokashi Berawa (Teapot),,
Bokashi Pererenan (Coupe Bowl),,
Bottega (Revisi),,
Buahan A Banyan Tree Seascape,,
Buahan Banyan Tree ,,
"Buahan, Banyan Tree Escape",,
Budi Susanti - Personal Order,,
Budi Susanti -Personal Order,,
Buzo Salazon,,
Buzo Salazon (Will Meyrick),,
Bvlgary,,
Bvlgary Bali,,
Bvlgary SAMPLE,,
CV Bali Boga Utama Jimbaran,,
CV Cipaku Boga Utama,,
CV Makasar Boga Utama,,
CV Palembang Boga Utqma,,
CV Pasar Tani Indoguna,,
CV Surabaya Boga Utama,,
CV. Bali Boga Utama,,
CV. Bandung Boga Utama,,
CV. Cipaku Boga Utama,,
CV. Makasar Boga Utama,,
CV. Pasar Tani Indoguna,,
CV. Surabaya Boga Utama ,,
Cafe Kistune ,,
Canton PIK,,
Cap Karoso Julang,,
Cap Karoso Julang (Updated Disc 5%),,
Capella Ubud (Teapot),,
Cempaka (Lesley Campbell) - SAMPLE,,
Cempaka (Updated),,
Chella Uluwatu,,
Chella Uluwatu ,,
Chroma Hospitality - Inroom Amenities ,,
Cush Cush Gallery ,,
Da Maria - Sample,,
Dali & Jennifer,,
Dine and Chat Jambi,,
Double tree by hilton ,,
Dragonfly Villa,,
Dragonfly Villa SAMPLE,,
Dragonfly Villla,,
Dragonfly wooden spoon,,
Drifter Additional,,
Earth Island Bali,,
Eden - Additional,,
Eliza Bonosusatya - Personal Order,,
Expat,,
Expat ,,
Fairmont Jakarta ,,
Fieldworks - Mandarin Oriental MUR [SAMPLE],,
Fieldworks - Mandarin Oriental for Suite [SAMPLE],,
Filedwork (Sample),,
Filinvest - Crimson Resorts and Spa Mactan,,
Flores Runaway,,
Four Season Ayung Teras,,
Four Season Hotel Jakarta SPA,,
Four Season Jakarta SPA,,
Four Season Jakarta SPA - Additional,,
Four Season Jakarta Spa - Additional,,
Four Season Jimbaran,,
Four Season Jimbaran - Sundara,,
Four Season Jimbaran SPA,,
Four Season Jimbaran Sundara,,
Four Season Jimbaran Taman Wantilan,,
Four Season Langkawi,,
Four Season Sayan - IVD and Banquet,,
Four Season Sayan - Western Breakfast,,
Four Season Sayan - Western Breakfast (215),,
Four Season Sayan - Western Breakfast (306),,
Four Season Sayan - Western Breakfast (916),,
Four Season Sayan Ayung Terace,,
Four Season Sayan Ayung Teras,,
Four Season Sayan Ayung Teras - Riverside (221),,
Four Season Sayan IVD,,
Four Season Sayan SPA,,
Four Seasons Jakarta Spa ,,
Four Seasons Sayan (UBU0156278),,
Four Seasons Sayan SPA,,
French Kiss (PT Jeevawasa),,
French Kiss SAMPLE,,
Ghost Panther,,
Gingermoon,,
Gio Private Villa,,
Gio's Private Villa Canggu,,
Grand Hyatt Jakarta (Handle Teapot),,
Grand Melia Bali,,
Greek Restaurant,,
Greek Restaurant In Uluwatu,,
Handara Golf & Resort Bali,,
Handara Golf Handara ,,
Hilton Bali (Sake Set),,
Hilton Bali Lounge,,
Hilton Bali Sake Set updated,,
Hiyoko,,
Holiday Inn Benoa,,
Holiday Inn Benoa (Additional - Salad Bowl),,
Holiday Inn Benoa (Additional Milk Jug),,
Holiday Inn Benoa (Updated pcs),,
Holiday Inn Benoa Additional,,
Hotel Permana Hijau,,
Hujan Locale,,
Hujan Locale ,,
Hujan Locale (Bowl Shrimp),,
Ibu Ming (Elaine),,
Indigo Bandung ,,
Indigo Bandung (Moodboard),,
