invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type,Total_Quantity,Full_Address,Country,Total_Invoice_USD
000030-024170-20240508-000447,2024-05-08,marina bay sands,MBS,7740.0,Hotel,Export,516.0,,Singapore,7740.0
3.09304E+21,2025-03-10,"cprc (maldives) pvt, ltd (ritz carlton maldives)",Ritz Carlton Maldives,2150.0,Hotel,Export,,,Maldives,2150.0
004817#08010000025220250201000912,2025-02-01,al ghalia w.l.l,Jihad,1016.6,Agent,Export,60.0,"Villa 927, Road 3830,Block 338, AdilyaKingdom of Bahrain.",Bahrain,1016.6
005/KEVALA/OUT/III/2024,2024-06-01,six senses amaala,Amaala,596.5,Hotel,Export,50.0,,Saudi Arabia,596.5
006830#00003002238320250212043298,2025-02-13,renarte general trading llc,Renarte,984.0,Agent,Export,48.0,"Office # 804, grosveenor Business Tower, PO Box 123568, barsha Heights, Dubai, United Arab Emirates",United Arab Emirates,984.0
007293#00003001310720250217999361,2025-02-17,al ghalia w.l.l,Jihad,27910.96,Agent,Export,1701.0,"Villa 927, Road 3830,Block 338, AdilyaKingdom of Bahrain.",Bahrain,27910.96
008364#00003000248020250116230774,2025-01-16,anna kersova,Anna Kersova,15095.4,Personal,Export,764.0,,United Kingdom,15095.4
009073#00003093043220250226000022,2025-02-26,w hotel maldives,W Hotel Maldives,11732.5,Hotel,Export,780.0,,Maldives,11732.5
011453#00003093043220250312000024,2025-03-12,waldorf astoria maldives ithaa fushi,Waldorf Astoria,16602.21,Hotel,Export,1639.0,,Maldives,16602.21
012253#00003043528320250317441048,2025-03-17,leisure oceans private limited (six sense kanuhura),Six Sense Kanuhura,1885.0,Hotel,Export,310.0,"Kanuhura, Maldives
Lhaviyani Atoll, Maldives
Lh. Kanuhuraa",Maldives,1885.0
012771#00003002480120250319999362,2025-03-20,hilton london (smeeta),Smeeta,4305.0,Hotel,Export,380.0,,United Kingdom,4305.0
016548#00003002480120250130203887,2025-01-30,new top limited,Capella Taipei,36266.25,Hotel,Export,2270.0,"House of Francis, Room 303, Ile Du Port, Mahe, Seychelles",Taiwan,36266.25
017/KEVALA/OUT/I/2024,2024-01-22,mg hotel supplies llc,MG Hotel,58.85,Agent,Export,74.0,"#14, Al Asayel Street
Al Quoz, PO Box 31862
Dubai, United Arab Emirates",United Arab Emirates,58.85
017247#00003082730020250130002169,2025-01-31,mactan seascapes service inc (crimson),Crimson / Boracay,24048.88,Hotel,Export,2016.0,"Seascapes Resort Town, Mactan Island, Lapu-lapu City Cebu",Philippines,24048.88
029548#00003053053920250217000167,2025-02-18,"hai ha handicraft co., ltd",Hai Ha,8584.0,Hotel,Export,461.0,"151 Hoa Lan., Ward 2, Phu Nhuan Dist, HCM City, Vietnam",Vietnam,8584.0
033649#07010000120720250220000033,2025-02-24,boma beach club,Boma Beach Club,26432.33,Restaurant,Local,1898.0,,Indonesia,1.6305887775783023
041452#00003002206820250306441117,2025-03-06,gfh ventures company wll,Raffles Bahrain/Al Areen Palace & Spa by Accor,102722.4,Hotel,Export,8970.0,"Hawrat Ingah, Block 1062, Road 6232, Building2046, Manama.
BH - Bahrain",Bahrain,102722.4
053730#00003002206920250321999366,2025-03-21,reef hospitality solutions and trading company,Sindalah,35216.12,Hotel,Export,2581.0,"Postal Code 13515, Riyadh, KSA",Saudi Arabia,35216.12
138197#00003002480120250320999363,2025-03-20,beyond bamboo (six senses london),Six Senses London,21791.0,Hotel,Export,2398.0,"Beyond Bamboo Global LTD
82 St John Street, London, 
United Kingdom, 
EC1M 4JN",United Kingdom,21791.0
621023#08010000025220240605004304,2024-06-05,mg hotel supplies llc,MG Hotel,348.0,Agent,Export,24.0,"#14, Al Asayel Street
Al Quoz, PO Box 31862
Dubai, United Arab Emirates",United Arab Emirates,348.0
622043#00003093043220240611000050,2024-06-12,patina maldives fari islands,Patina Maldives,900.0,Hotel,Export,36.0,"#02-01, Millennia Tower 10 Ameer Ahmed Magu, Male Republic of Maldives",Maldives,900.0
622939#00003003017320240613000118,2024-06-19,waldorf astoria maldives ithaa fushi,Waldorf Astoria,2496.0,Hotel,Export,120.0,,Maldives,2496.0
