Country,Total_Quantity,Total_Invoice_Value_USD
Australia,1294.0,39883.34
Bahrain,11501.0,152420.99
Fiji,1050.0,8350.0
Grenada,50.0,450.0
Hong Kong S.A.R.,60.0,1020.0
India,191.0,2760.5
Indonesia,214201.0,2131753.61942575
Italy,92.0,1840.0
Japan,1102.0,18055.0
Kuwait,300.0,11400.0
Malaysia,720.0,10098.0
Maldives,13129.0,1388646.97
Oman,1920.0,43653.5
Philippines,3057.0,46729.130000000005
Qatar,545.0,9425.0
Saudi Arabia,24004.0,242789583.51
Seychelles,496.0,9013.1
Singapore,3358.0,46371.34
Spain,110.0,2673.0
Taiwan,2270.0,36266.25
Thailand,74.0,106.15
Turkey,241.0,1085.46
United Arab Emirates,808.0,12909.93
United Kingdom,5739.0,63867.600000000006
United States Of America,699.0,13600.0
Vietnam,1471.0,23018.0
