Country,Total_Invoice_Value_USD
Australia,39883.34
Bahrain,152420.99
Fiji,8350.0
Grenada,450.0
Hong Kong S.A.R.,1020.0
India,2760.5
Indonesia,2139231.088377894
Italy,1840.0
Japan,18055.0
Kuwait,11400.0
Malaysia,10098.0
Maldives,1388646.97
Oman,43653.5
Philippines,46729.130000000005
Qatar,9425.0
Saudi Arabia,373060.97895214387
Seychelles,9013.1
Singapore,46371.34
Spain,2673.0
Taiwan,36266.25
Thailand,106.15
Turkey,1085.46
United Arab Emirates,12909.93
United Kingdom,63867.600000000006
United States Of America,13600.0
Vietnam,23018.0
