Country,Total_Quantity,Total_Value_USD
Antigua And Barbuda,2133.0,31491.9
Australia,802.0,11050.2
Bahrain,11496.0,146899.96
Belize,28.0,0.0
Cambodia,546.0,4561.0
Canada,91.0,3091.42
Fiji,201.0,1467.0
India,375.0,6017.5
Indonesia,152427.0,1839141.774188794
Japan,103.0,3601.5
Kuwait,300.0,11400.0
Malaysia,1671.0,39215.5
Maldives,9571.0,117264.70999999999
Oman,1905.0,43392.5
Philippines,2540.0,38854.380000000005
Qatar,558.0,9612.15
Saudi Arabia,22204.0,359859.41
Singapore,2804.0,40226.5
Spain,110.0,2673.0
Taiwan,2270.0,36266.25
United Arab Emirates,456.0,9080.8
United Kingdom,5994.0,69858.4
Vietnam,1999.0,28279.0
