Country,Total_Quote_Value_USD
Antigua And Barbuda,69923.34
Australia,18621.0
Bahrain,140884.16
Belize,0.0
Cambodia,4417.0
Canada,3091.42
Fiji,1467.0
Grenada,450.0
India,61662.5
Indonesia,2441422.0639228825
Italy,1840.0
Japan,1767.5
Kuwait,11480.0
Malaysia,39815.5
Maldives,156796.71
Oman,43392.5
Philippines,38854.380000000005
Qatar,9612.15
Saudi Arabia,359859.41000000003
Seychelles,1091.5
Singapore,47996.5
Spain,2673.0
Taiwan,36727.25
United Arab Emirates,9944.8
United Kingdom,69858.4
United States Of America,4793.5
Vietnam,28629.0
