Company_Name,PO Number,Date,Trade_Type,Total,Total_Quantity,Location,Customer_Category,Country
zi biru,,04/09/2024,Local,36686055.0,0,,Restaurant,Indonesia
zi biru,-,31/12/2024,Local,7215000.0,50,Bali,Restaurant,Indonesia
yen group indonesia,,21/09/2023,,13908300.0,0,,Restaurant,Indonesia
yawara boga indonesia,,17/05/2024,,297468900.0,0,,Restaurant,Indonesia
wynncor bali,,26/03/2024,Local,24142500.0,0,,Hotel,Indonesia
wynncor bali,,21/06/2024,Local,11100000.0,0,,Hotel,Indonesia
wynncor bali,,10/07/2024,Local,19258500.0,0,,Hotel,Indonesia
wynncor bali,DPSAZ0000053493,21/02/2025,Local,29082000.0,188,,Hotel,Indonesia
wynncor bali,DPSAZ0000053055,19/02/2025,Local,3663000.0,15,,Hotel,Indonesia
wana kamala gemilang,,23/02/2024,,131548875.0,0,,Restaurant,Indonesia
waldorf astoria maldives ithaa fushi,,25/04/2024,Export,15512.0,0,,Hotel,Maldives
waldorf astoria maldives ithaa fushi,,18/04/2024,Export,3240.0,0,,Hotel,Maldives
waldorf astoria maldives ithaa fushi,,22/12/2023,Export,1750.0,0,,Hotel,Maldives
waldorf astoria maldives ithaa fushi,,26/03/2024,Export,2496.0,0,,Hotel,Maldives
waldorf astoria maldives ithaa fushi,,01/03/2024,Export,1410.0,0,,Hotel,Maldives
waldorf astoria maldives ithaa fushi,MLEON59328,20/12/2024,Export,16602.21,1639,Maldives,Hotel,Maldives
wakatobi resort,,16/05/2024,,6160500.0,0,,Hotel,Indonesia
wakatobi resort,,03/05/2024,,1598400.0,0,,Hotel,Indonesia
wahana duta jaya rucika,,04/03/2024,,38206200.0,0,,Personal,Indonesia
w hotel maldives,,28/10/2024,Export,13880.0,0,,Hotel,Maldives
w hotel maldives,Jan/24,19/12/2024,Export,11732.5,780,Maldives,Hotel,Maldives
vista padang asri,,10/01/2024,Local,2497500.0,0,,Hotel,Indonesia
vista padang asri,,20/05/2024,Local,10267500.0,0,,Hotel,Indonesia
vista padang asri,-,03/02/2025,Local,6926400.0,29,Bali,Hotel,Indonesia
vasanta group,,11/06/2024,,464446200.0,0,,Hotel,Indonesia
vasanta group,,13/06/2024,,372249600.0,0,,Hotel,Indonesia
vasanta group,,13/06/2024,,122738250.0,0,,Hotel,Indonesia
usaha pogu boga,,19/07/2024,,16516800.0,0,,Restaurant,Indonesia
usaha liburan uluwatu,,03/01/2024,,4162500.0,0,,Restaurant,Indonesia
usaha liburan uluwatu,,13/09/2024,,59773500.0,0,,Restaurant,Indonesia
ungasan semesta resort,DPSOL2411125,06/11/2024,Local,41524267.0,283,Bali,Hotel,Indonesia
ungasan semesta resort,DPSOL2413288,23/12/2024,Local,18927720.0,96,Bali,Hotel,Indonesia
ulu garden,-,19/03/2025,Local,146311875.0,800,,Restaurant,Indonesia
ulekan berawa,,05/04/2024,,12187800.0,0,,Restaurant,Indonesia
tina,,28/06/2024,,3.0,0,,Umum,Indonesia
tigapilar selaras utama,,19/12/2023,,10966800.0,0,,Hotel,Indonesia
the sanubari hotel,,19/12/2023,Local,40936800.0,0,,Hotel,Indonesia
the sanubari hotel,,13/02/2024,Local,7492500.0,0,,Hotel,Indonesia
the sanubari hotel,,08/08/2024,Local,31302000.0,0,,Hotel,Indonesia
the sanubari hotel,2412025,07/02/2025,Local,122585625.0,800,Sumba,Hotel,Indonesia
the royal purnama,,06/06/2024,,23842800.0,0,,Hotel,Indonesia
the ritz carlton bahrain,,22/05/2024,,15250.0,0,,Hotel,Bahrain
the oberoi beach resort bali,35531,22/11/2024,Local,128010750.0,635,Bali,Hotel,Indonesia
the lombok lodge,,23/01/2024,,67710000.0,0,,Hotel,Indonesia
the lemon tree curacao,,12/04/2024,,415007500.0,0,,Hotel,Indonesia
