invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type,Total_Quantity,Country,Total_USD
000030-024170-20240508-000447,2024-05-08,marina bay sands,MBS,7740.0,Hotel,Export,516.0,Singapore,7740.0
00003093043220250310000023,2025-03-10,"cprc (maldives) pvt, ltd (ritz carlton maldives)",Ritz Carlton Maldives,2150.0,Hotel,Export,225.0,Maldives,2150.0
004817#08010000025220250201000912,2025-02-01,al ghalia w.l.l,Jihad,1016.6,Agent,Export,60.0,Bahrain,1016.6
005/KEVALA/OUT/III/2024,2024-06-01,six senses amaala,Amaala,596.5,Hotel,Export,50.0,Saudi Arabia,596.5
006830#00003002238320250212043298,2025-02-13,renarte general trading llc,Renarte,984.0,Agent,Export,48.0,United Arab Emirates,984.0
007293#00003001310720250217999361,2025-02-17,al ghalia w.l.l,Jihad,27910.96,Agent,Export,1701.0,Bahrain,27910.96
008364#00003000248020250116230774,2025-01-16,anna kersova,Anna Kersova,15095.4,Personal,Export,764.0,United Kingdom,15095.4
009073#00003093043220250226000022,2025-02-26,w hotel maldives,W Hotel Maldives,11732.5,Hotel,Export,780.0,Maldives,11732.5
011453#00003093043220250312000024,2025-03-12,waldorf astoria maldives ithaa fushi,Waldorf Astoria,16602.21,Hotel,Export,1639.0,Maldives,16602.21
012253#00003043528320250317441048,2025-03-17,leisure oceans private limited (six sense kanuhura),Six Sense Kanuhura,1885.0,Hotel,Export,310.0,Maldives,1885.0
012771#00003002480120250319999362,2025-03-20,hilton london (smeeta),Smeeta,4305.0,Hotel,Export,380.0,United Kingdom,4305.0
015073#00003002480120250403999367,2025-04-03,four season resort maldives,Four Season Maldives,1860.0,Hotel,Export,161.0,Maldives,1860.0
016548#00003002480120250130203887,2025-01-30,new top limited,Capella Taipei,36266.25,Hotel,Export,2270.0,Taiwan,36266.25
017/KEVALA/OUT/I/2024,2024-01-22,mg hotel supplies llc,MG Hotel,58.85,Agent,Export,74.0,United Arab Emirates,58.85
017247#00003082730020250130002169,2025-01-31,mactan seascapes service inc (crimson),Crimson / Boracay,24048.88,Hotel,Export,2016.0,Philippines,24048.88
017634#00003002480120250417999368,2025-04-19,beyond bamboo (six senses london),Six Senses London,11896.0,Hotel,Export,1335.0,United Kingdom,11896.0
019640#00003002914220250430999977,2025-04-21,mg hotel supplies llc,MG Hotel,276.0,Agent,Export,12.0,United Arab Emirates,276.0
024295#00003002480120250526999978,2025-05-26,four season resort maldives,Four Season Maldives,1770.0,Hotel,Export,114.0,Maldives,1770.0
024532#00003071543520250527000366,2024-01-29,range developments msd limited (six sense grenada),Six Sense Grenada,450.0,Hotel,Export,50.0,Grenada,450.0
029548#00003053053920250217000167,2025-02-18,"hai ha handicraft co., ltd",Hai Ha,8584.0,Hotel,Export,461.0,Vietnam,8584.0
033649#07010000120720250220000033,2025-02-24,boma beach club,Boma Beach Club,26432.33,Restaurant,Local,1898.0,Indonesia,1.6305887775783023
041452#00003002206820250306441117,2025-03-06,gfh ventures company wll,Raffles Bahrain/Al Areen Palace & Spa by Accor,102722.4,Hotel,Export,8970.0,Bahrain,102722.4
053730#00003002206920250321999366,2025-03-21,reef hospitality solutions and trading company,Sindalah,35216.12,Hotel,Export,2581.0,Saudi Arabia,35216.12
