ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-31,17839.662672,16642.85720627975,23528.736635385347,17839.662672,17839.662672,2247.5820537318054,2247.5820537318054,2247.5820537318054,2247.5820537318054,2247.5820537318054,2247.5820537318054,0.0,0.0,0.0,20087.244725731805
2023-02-28,17948.764751455165,5740.234305350988,12247.58323078953,17948.764751455165,17948.764751455165,-9005.454821770376,-9005.454821770376,-9005.454821770376,-9005.454821770376,-9005.454821770376,-9005.454821770376,0.0,0.0,0.0,8943.309929684789
2023-03-31,18069.556339153587,10824.535556799085,17627.826986637956,18069.556339153587,18069.556339153587,-3811.9288784074593,-3811.9288784074593,-3811.9288784074593,-3811.9288784074593,-3811.9288784074593,-3811.9288784074593,0.0,0.0,0.0,14257.627460746127
2023-04-30,18186.451424351486,8074.764004208362,15192.121689025971,18186.451424351486,18186.451424351486,-6474.20667783851,-6474.20667783851,-6474.20667783851,-6474.20667783851,-6474.20667783851,-6474.20667783851,0.0,0.0,0.0,11712.244746512977
2023-05-31,18307.243012779167,18907.20671010991,25773.279881393417,18307.243012779167,18307.243012779167,4053.416147618182,4053.416147618182,4053.416147618182,4053.416147618182,4053.416147618182,4053.416147618182,0.0,0.0,0.0,22360.65916039735
2023-06-30,18424.138098417647,7658.480683051536,14075.698807983914,18424.138098417647,18424.138098417647,-7452.93366775906,-7452.93366775906,-7452.93366775906,-7452.93366775906,-7452.93366775906,-7452.93366775906,0.0,0.0,0.0,10971.204430658587
2023-07-31,18544.929686165924,21850.361137906613,28365.640284031062,18544.929686165924,18544.929686165924,6604.925628604707,6604.925628604707,6604.925628604707,6604.925628604707,6604.925628604707,6604.925628604707,0.0,0.0,0.0,25149.85531477063
2023-08-31,18665.721273445295,12358.666503218094,18983.53945526723,18665.721273445295,18665.721273445295,-2971.953477391245,-2971.953477391245,-2971.953477391245,-2971.953477391245,-2971.953477391245,-2971.953477391245,0.0,0.0,0.0,15693.76779605405
2023-09-30,18782.61635762822,9154.988091861298,15789.325047675746,18782.61635762822,18782.61635762822,-6220.116261090954,-6220.116261090954,-6220.116261090954,-6220.116261090954,-6220.116261090954,-6220.116261090954,0.0,0.0,0.0,12562.500096537266
2023-10-31,18903.407945028895,13726.495755831378,19771.127684236653,18903.407945028895,18903.407945028895,-2083.402883507242,-2083.402883507242,-2083.402883507242,-2083.402883507242,-2083.402883507242,-2083.402883507242,0.0,0.0,0.0,16820.005061521653
2023-11-30,19020.303030096184,19061.233361362938,25731.246786821914,19020.303030096184,19020.303030096184,3297.1071206559727,3297.1071206559727,3297.1071206559727,3297.1071206559727,3297.1071206559727,3297.1071206559727,0.0,0.0,0.0,22317.410150752155
2023-12-31,19141.094618319876,11272.556810364129,17730.23398919126,19141.094618319876,19141.094618319876,-4474.258743756529,-4474.258743756529,-4474.258743756529,-4474.258743756529,-4474.258743756529,-4474.258743756529,0.0,0.0,0.0,14666.835874563347
2024-01-31,19261.886206738123,22240.540247457684,28383.748160388008,19261.886206738123,19261.886206738123,5943.446544561394,5943.446544561394,5943.446544561394,5943.446544561394,5943.446544561394,5943.446544561394,0.0,0.0,0.0,25205.332751299517
2024-02-29,19374.884789864762,7620.876127257848,14377.787692286582,19374.884789864762,19374.884789864762,-8502.92441433533,-8502.92441433533,-8502.92441433533,-8502.92441433533,-8502.92441433533,-8502.92441433533,0.0,0.0,0.0,10871.960375529432
2024-03-31,19495.676378815155,22798.206300193488,29360.203479293865,19495.676378815155,19495.676378815155,6714.644726004031,6714.644726004031,6714.644726004031,6714.644726004031,6714.644726004031,6714.644726004031,0.0,0.0,0.0,26210.321104819188
2024-04-30,19612.571465366374,9264.334082518295,15991.472658179073,19612.571465366374,19612.571465366374,-7029.9615651475215,-7029.9615651475215,-7029.9615651475215,-7029.9615651475215,-7029.9615651475215,-7029.9615651475215,0.0,0.0,0.0,12582.609900218853
