ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-31,226761.54557494723,209148.21341477905,286154.7462746183,226761.54557494723,226761.54557494723,21126.577902591023,21126.577902591023,21126.577902591023,21126.577902591023,21126.577902591023,21126.577902591023,0.0,0.0,0.0,247888.12347753826
2023-02-28,226920.82198237997,93794.79268725519,172550.42268237314,226920.82198237997,226920.82198237997,-94231.701799231,-94231.701799231,-94231.701799231,-94231.701799231,-94231.701799231,-94231.701799231,0.0,0.0,0.0,132689.12018314897
2023-03-31,227097.16372016625,145266.0737145433,224784.9870400038,227097.16372016625,227097.16372016625,-43009.96536875285,-43009.96536875285,-43009.96536875285,-43009.96536875285,-43009.96536875285,-43009.96536875285,0.0,0.0,0.0,184087.19835141342
2023-04-30,227267.81701550106,94298.96564379458,173197.42278154634,227267.81701550106,227267.81701550106,-95390.48409673825,-95390.48409673825,-95390.48409673825,-95390.48409673825,-95390.48409673825,-95390.48409673825,0.0,0.0,0.0,131877.3329187628
2023-05-31,227444.15875464233,186369.22713675117,264786.6718687424,227444.15875464233,227444.15875464233,-1287.4502446936583,-1287.4502446936583,-1287.4502446936583,-1287.4502446936583,-1287.4502446936583,-1287.4502446936583,0.0,0.0,0.0,226156.70850994866
2023-06-30,227614.8120501095,106464.92929021822,185395.59094276934,227614.8120501095,227614.8120501095,-82012.63134610221,-82012.63134610221,-82012.63134610221,-82012.63134610221,-82012.63134610221,-82012.63134610221,0.0,0.0,0.0,145602.18070400727
2023-07-31,227791.1537878266,269635.01734307554,348859.6036613564,227791.1537878266,227791.1537878266,81884.14776343184,81884.14776343184,81884.14776343184,81884.14776343184,81884.14776343184,81884.14776343184,0.0,0.0,0.0,309675.3015512584
2023-08-31,227967.49552532795,161996.5230882888,241351.06213734078,227967.49552532795,227967.49552532795,-24998.410614668028,-24998.410614668028,-24998.410614668028,-24998.410614668028,-24998.410614668028,-24998.410614668028,0.0,0.0,0.0,202969.08491065993
2023-09-30,228138.1488194333,134213.76658094756,214333.90457355103,228138.1488194333,228138.1488194333,-54000.64671795895,-54000.64671795895,-54000.64671795895,-54000.64671795895,-54000.64671795895,-54000.64671795895,0.0,0.0,0.0,174137.50210147433
2023-10-31,228314.4905573978,176477.17220068534,255663.0886568103,228314.4905573978,228314.4905573978,-12239.749980048795,-12239.749980048795,-12239.749980048795,-12239.749980048795,-12239.749980048795,-12239.749980048795,0.0,0.0,0.0,216074.740577349
2023-11-30,228485.1438512876,287933.49948587443,364686.9007240805,228485.1438512876,228485.1438512876,99734.3736470362,99734.3736470362,99734.3736470362,99734.3736470362,99734.3736470362,99734.3736470362,0.0,0.0,0.0,328219.5174983238
2023-12-31,228661.48558723493,179657.4902642811,259953.06106385167,228661.48558723493,228661.48558723493,-8069.689446481476,-8069.689446481476,-8069.689446481476,-8069.689446481476,-8069.689446481476,-8069.689446481476,0.0,0.0,0.0,220591.79614075346
2024-01-31,228837.82732364567,246699.6503803435,322687.02703872806,228837.82732364567,228837.82732364567,56540.866015171014,56540.866015171014,56540.866015171014,56540.866015171014,56540.866015171014,56540.866015171014,0.0,0.0,0.0,285378.6933388167
2024-02-29,229002.79217377683,96569.46436774182,177666.18335574973,229002.79217377683,229002.79217377683,-90753.08230169937,-90753.08230169937,-90753.08230169937,-90753.08230169937,-90753.08230169937,-90753.08230169937,0.0,0.0,0.0,138249.70987207745
2024-03-31,229179.13391130057,232392.47896062408,312462.299125211,229179.13391130057,229179.13391130057,43339.61845069618,43339.61845069618,43339.61845069618,43339.61845069618,43339.61845069618,43339.61845069618,0.0,0.0,0.0,272518.75236199674
2024-04-30,229349.78720666756,83532.20727365115,163412.1724729825,229349.78720666756,229349.78720666756,-103194.93573018175,-103194.93573018175,-103194.93573018175,-103194.93573018175,-103194.93573018175,-103194.93573018175,0.0,0.0,0.0,126154.85147648581
2024-05-31,229526.1289462097,136401.63515404504,211826.60788598625,229526.1289462097,229526.1289462097,-54042.695336793666,-54042.695336793666,-54042.695336793666,-54042.695336793666,-54042.695336793666,-54042.695336793666,0.0,0.0,0.0,175483.43360941604
2024-06-30,229696.78224235764,219428.9946871497,294809.9498520961,229696.78224235764,229696.78224235764,25949.48822965386,25949.48822965386,25949.48822965386,25949.48822965386,25949.48822965386,25949.48822965386,0.0,0.0,0.0,255646.2704720115
2024-07-31,229873.1239830504,139451.97483506394,214357.77835946556,229873.1239830504,229873.1239830504,-53657.58601211928,-53657.58601211928,-53657.58601211928,-53657.58601211928,-53657.58601211928,-53657.58601211928,0.0,0.0,0.0,176215.53797093112
2024-08-31,230049.46572320408,140120.5237475,218942.81670149043,230049.46572320408,230049.46572320408,-51216.48584995618,-51216.48584995618,-51216.48584995618,-51216.48584995618,-51216.48584995618,-51216.48584995618,0.0,0.0,0.0,178832.9798732479
2024-09-30,230220.11902119213,210352.53210544362,291530.50208981603,230220.11902119213,230220.11902119213,18465.091409335302,18465.091409335302,18465.091409335302,18465.091409335302,18465.091409335302,18465.091409335302,0.0,0.0,0.0,248685.21043052743
2024-10-31,230396.4607615086,258671.51254860274,335077.87657450954,230396.4607615086,230396.4607615086,64082.094704846895,64082.094704846895,64082.094704846895,64082.094704846895,64082.094704846895,64082.094704846895,0.0,0.0,0.0,294478.5554663555
2024-11-30,230567.11405976475,193624.53953710382,272122.4610629769,230567.11405976475,230567.11405976475,3405.470291759468,3405.470291759468,3405.470291759468,3405.470291759468,3405.470291759468,3405.470291759468,0.0,0.0,0.0,233972.58435152422
2024-12-31,230743.45580162256,263815.82981067896,342913.1378622527,230743.45580162256,230743.45580162256,73835.17967438903,73835.17967438903,73835.17967438903,73835.17967438903,73835.17967438903,73835.17967438903,0.0,0.0,0.0,304578.6354760116
2025-01-31,230919.79754281172,142711.41989971904,221149.53914073503,230919.79754281172,230919.79754281172,-48974.92157694476,-48974.92157694476,-48974.92157694476,-48974.92157694476,-48974.92157694476,-48974.92157694476,0.0,0.0,0.0,181944.87596586696
2025-02-28,231079.07395420835,99724.10902254813,179048.85221611956,231079.07395420835,231079.07395420835,-91131.85354474334,-91131.85354474334,-91131.85354474334,-91131.85354474334,-91131.85354474334,-91131.85354474334,0.0,0.0,0.0,139947.22040946502
2025-03-31,231255.41569539753,206064.54668962068,284995.1374144545,231255.41569539753,231255.41569539753,14681.598350076518,14681.598350076518,14681.598350076518,14681.598350076518,14681.598350076518,14681.598350076518,0.0,0.0,0.0,245937.01404547406
2025-04-30,231426.0689933225,90301.01743292049,170549.4703993856,231426.0689933225,231426.0689933225,-101162.76227974398,-101162.76227974398,-101162.76227974398,-101162.76227974398,-101162.76227974398,-101162.76227974398,0.0,0.0,0.0,130263.30671357851
2025-05-31,231602.41073451162,159160.058215769,234321.89821150168,231602.41073451162,231602.41073451162,-36280.10964454059,-36280.10964454059,-36280.10964454059,-36280.10964454059,-36280.10964454059,-36280.10964454059,0.0,0.0,0.0,195322.30108997104
2025-06-30,231773.06403243664,181747.5196653537,259637.652729817,231773.06403243664,231773.06403243664,-10492.352908976389,-10492.352908976389,-10492.352908976389,-10492.352908976389,-10492.352908976389,-10492.352908976389,0.0,0.0,0.0,221280.71112346026
2025-07-31,231949.40577362577,184201.94334561154,262349.3803493444,231949.40568718393,231949.40585194444,-8879.497962847543,-8879.497962847543,-8879.497962847543,-8879.497962847543,-8879.497962847543,-8879.497962847543,0.0,0.0,0.0,223069.9078107782
2025-08-31,232125.74751481492,153087.37633165572,229709.7460929239,232125.747230526,232125.74776836016,-41570.52650471962,-41570.52650471962,-41570.52650471962,-41570.52650471962,-41570.52650471962,-41570.52650471962,0.0,0.0,0.0,190555.2210100953
2025-09-30,232296.40081273988,191397.28241783506,263970.3330827306,232296.4002723479,232296.4012892364,-5184.465178053998,-5184.465178053998,-5184.465178053998,-5184.465178053998,-5184.465178053998,-5184.465178053998,0.0,0.0,0.0,227111.93563468588
2025-10-31,232472.74255392907,229838.3393427536,308902.27463025093,232472.74173318775,232472.74332092606,38033.86049445489,38033.86049445489,38033.86049445489,38033.86049445489,38033.86049445489,38033.86049445489,0.0,0.0,0.0,270506.60304838396
2025-11-30,232643.39585185403,230255.49055188292,306896.9422518368,232643.3946710848,232643.3969495415,35292.83011609486,35292.83011609486,35292.83011609486,35292.83011609486,35292.83011609486,35292.83011609486,0.0,0.0,0.0,267936.2259679489
2025-12-31,232819.73759304316,238007.22130948043,316578.0948538066,232819.7360661347,232819.7390633711,46334.71107776878,46334.71107776878,46334.71107776878,46334.71107776878,46334.71107776878,46334.71107776878,0.0,0.0,0.0,279154.44867081195
