Date,Company_Name,Brand_Name,Symbol Currency,Sub Total,VAT Amount,Total,Customer_Category,Trade_Type,Status,
13 Jan 2025,32Do Bali Restaurant,32Do Bali Restaurant,Rp,"7,000,000.","770,000.","7,770,000.",Restaurant,Local,Menunggu diproses,
14 Jan 2025,AL GHALIA W.L.L,Jihad,$,"28,927.56",0.,"28,927.56",Agent,Export,Terproses,
17 Feb 2025,ALT 74,ALT 74,Rp,"22,500,000.","2,475,000.","24,975,000.",Hotel,Local,Terproses,
20 Jun 2024,ASL UK Ltd,Six Senses London - Link,$,"15,015.",0.,"15,015.",Hotel,Export,Terproses,
06 Jan 2025,Abirupa Nusa Cipta,Tejaprana Bisma,Rp,"40,240,000.","4,426,400.","44,666,400.",Hotel,Local,Terproses,
13 Jun 2024,Ali Bey Malidives Pvt. Ltd. (Joali Muravandhoo),Joali Muravandhoo,$,"7,686.",0.,"7,686.",Hotel,Export,Terproses,
26 Jan 2024,Amanda Arumdhani,Four Season Sayan,Rp,"264,275,000.","29,070,250.","293,345,250.",Hotel,Local,Terproses,
27 Mar 2024,Amanda Arumdhani,Four Season Sayan,Rp,"24,640,000.","2,710,400.","27,350,400.",Hotel,Local,Terproses,
16 May 2024,Amanda Arumdhani,Four Season Sayan,Rp,"184,010,000.","20,241,100.","204,251,100.",Hotel,Local,Terproses,
30 Sep 2024,Amanda Arumdhani,Four Season Sayan,Rp,"39,240,000.","4,316,400.","43,556,400.",Hotel,Local,Terproses,
30 Sep 2024,Amanda Arumdhani,Four Season Sayan,Rp,"45,970,000.","5,056,700.","51,026,700.",Hotel,Local,Terproses,
31 Dec 2024,Amanda Arumdhani,Four Season Sayan,Rp,"24,750,000.","2,722,500.","27,472,500.",Hotel,Local,Terproses,
27 Feb 2025,Amanda Arumdhani,Four Season Sayan,Rp,"53,540,000.","5,889,400.","59,429,400.",Hotel,Local,Terproses,
01 Nov 2024,Amarterra Villa Nusa Dua,Amarterra Villa,Rp,"30,534,000.","3,358,740.","33,892,740.",Hotel,Local,Terproses,
14 Mar 2024,Anaamaya Resort Seminyak,Alila Seminyak,Rp,"36,205,000.","3,982,550.","40,187,550.",Hotel,Local,Terproses,
14 Mar 2024,Anaamaya Resort Seminyak,Alila Seminyak,Rp,"142,600,000.","15,686,000.","158,286,000.",Hotel,Local,Sebagian diproses,
14 Mar 2024,Anaamaya Resort Seminyak,Alila Seminyak,Rp,"220,250,000.","24,227,500.","244,477,500.",Hotel,Local,Terproses,
