Company_Name,Brand_Name,PO Number,Date,Complete Date by Sales,Complete Date by Production,Trade_Type,Rate Last Sales Order,Total,Available Down Payment Last Sales Order,Down Payment Used/Returned Last Sales Order,Total Item Based on PO,Sales Origin,Cfm by WA,Customer_Category
Zi Biru,Zi Biru,,04/09/2024,,,,1,36686055,0,18343017.5,0,,,Restaurant
Zi Biru,Zi Biru,-,31/12/2024,03/03/2025,10/03/2025,Local,1,7215000,0,3607500,50,Bali,,Restaurant
Yen Group Indonesia,Yen Senopati,,21/09/2023,,,,1,13908300,0,6954150,0,,,Restaurant
Yawara Boga Indonesia,Yawara,,17/05/2024,,,,1,297468900,0,148734450,0,,,Restaurant
Wynncor Bali,Andaz Bali,,26/03/2024,,,,1,24142500,0,12071250,0,,,Hotel
Wynncor Bali,Andaz Bali,,21/06/2024,,,,1,11100000,0,0,0,,,Hotel
Wynncor Bali,Andaz Bali,,10/07/2024,,,,1,19258500,0,0,0,,,Hotel
Wynncor Bali,Andaz Bali,DPSAZ0000053493,21/02/2025,30/04/2025,29/04/2025,Local,1,29082000,0,14541000,188,,,Hotel
Wynncor Bali,Andaz Bali,DPSAZ0000053055,19/02/2025,30/04/2025,29/04/2025,Local,1,3663000,0,1831500,15,,,Hotel
Wana Kamala Gemilang,Omma Bali,,23/02/2024,,,,1,131548875,0,65774438,0,,,Restaurant
Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,,25/04/2024,,,,15476.8,15512,0,7756,0,,,Hotel
Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,,18/04/2024,,,,15476.8,3240,0,1620,0,,,Hotel
Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,,22/12/2023,,,,15439,1750,0,0,0,,,Hotel
Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,,26/03/2024,,,,15476.8,2496,0,0,0,,,Hotel
Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,,01/03/2024,,,,,1410,,,0,,,Hotel
Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,MLEON59328,20/12/2024,14/03/2025,20/02/2025,Export,16320,16602.21,0,8301.1,1639,Maldives,,Hotel
Wakatobi Resort,Wakatobi,,16/05/2024,,,,1,6160500,6160500,0,0,,,Hotel
Wakatobi Resort,Wakatobi,,03/05/2024,,,,1,1598400,0,799200,0,,,Hotel
Wahana Duta Jaya Rucika,Ibu Ming/Elaine,,04/03/2024,,,,1,38206200,0,19103100,0,,,Personal
W Hotel Maldives,W Hotel Maldives,,28/10/2024,,,,,13880,,,0,,,Hotel
W Hotel Maldives,W Hotel Maldives,Jan/24,19/12/2024,17/02/2025,17/02/2025,Export,16320,11732.5,0,2346.5,780,Maldives,,Hotel
Vista Padang Asri,Suarga Resort,,10/01/2024,,,,1,2497500,0,0,0,,,Hotel
Vista Padang Asri,Suarga Resort,,20/05/2024,,,,1,10267500,0,10267500,0,,,Hotel
Vista Padang Asri,Suarga Resort,-,03/02/2025,05/03/2025,30/04/2025,Local,1,6926400,0,2264400,29,Bali,,Hotel
Vasanta Group,Vasanta Group,,11/06/2024,,,,,464446200,,,0,,,Hotel
Vasanta Group,Vasanta Group,,13/06/2024,,,,,372249600,,,0,,,Hotel
Vasanta Group,Vasanta Group,,13/06/2024,,,,,122738250,,,0,,,Hotel
Usaha Pogu Boga,Soichiro,,19/07/2024,,,,1,16516800,0,8258400,0,,,Restaurant
Usaha Liburan Uluwatu,Mana Uluwatu Restaurant,,03/01/2024,,,,,4162500,,,0,,,Restaurant
Usaha Liburan Uluwatu,Mana Uluwatu Restaurant,,13/09/2024,,,,1,59773500,0,29886750,0,,,Restaurant
Ungasan Semesta Resort,QQ Siti Agung Makmur (LXR),DPSOL2411125,06/11/2024,22/01/2025,21/01/2025,Local,1,41524267,0,20762133,283,Bali,,Hotel
Ungasan Semesta Resort,QQ Siti Agung Makmur (LXR),DPSOL2413288,23/12/2024,15/03/2025,05/03/2025,Local,1,18927720,0,9463860,96,Bali,,Hotel
Ulu Garden,Merta Surya Buana,-,19/03/2025,30/05/2025,29/05/2025,Local,1,146311875,0,73155937,800,,,Restaurant
Ulekan Berawa,Ni Wayan Jonti,,05/04/2024,,,,1,12187800,0,6093900,0,,,Restaurant
Tina,Tina,,28/06/2024,,,,,3,,,0,,,Umum
Tigapilar Selaras Utama,Kemilau Umalas,,19/12/2023,,,,,10966800,,,0,,,Hotel
The Sanubari Hotel,MDA ABS Kuningan,,19/12/2023,,,,,40936800,,,0,,,Hotel
The Sanubari Hotel,MDA ABS Kuningan,,13/02/2024,,,,1,7492500,0,3746250,0,,,Hotel
The Sanubari Hotel,MDA ABS Kuningan,,08/08/2024,,,,1,31302000,0,15651000,0,,,Hotel
The Sanubari Hotel,MDA ABS Kuningan,2412025,07/02/2025,30/05/2025,13/06/2025,Local,1,122585625,0,0,800,Sumba,,Hotel
The Royal Purnama,The Royal Purnama,,06/06/2024,,,,1,23842800,0,11921400,0,,,Hotel
The Ritz Carlton Bahrain,The Ritz Carlton Bahrain,,22/05/2024,,,,15853,15250,0,7625,0,,,Hotel
The Oberoi Beach Resort Bali,Oberoi Beach,35531,22/11/2024,17/02/2025,25/02/2025,Local,1,128010750,0,64005375,635,Bali,,Hotel
The Lombok Lodge,Lombok Lodge,,23/01/2024,,,,1,67710000,0,0,0,,,Hotel
The Lemon Tree Curacao,The Lemon Tree Curacao,,12/04/2024,,,,1,415007500,1339000,344120750,0,,,Hotel
The Lemon Tree Curacao,The Lemon Tree Curacao,,12/04/2024,,,,1,276355000,1339000,344120750,0,,,Hotel
The Damai Hotel,Normann Indonesia,,12/09/2024,,,,1,39538200,0,19769100,0,,,Hotel
The Damai Hotel,Normann Indonesia,,08/05/2024,,,,1,63214500,0,31607250,0,,,Hotel
The Asa Maia,Asa Maia,P241031001,06/11/2024,29/01/2025,28/01/2025,Local,1,17389260,0,4809630,112,Bali,,Hotel
Telaga Cita Rasa,Nam Heong,,15/05/2024,,,,1,21578400,0,10789200,0,,,Personal
Tejaprana Spa & Resort,Taman Ayung,,29/07/2024,,,,1,23809500,0,11904750,0,,,Hotel
Tejaprana Spa & Resort,Taman Ayung,,29/07/2024,,,,1,16983000,0,8491500,0,,,Hotel
Tejaprana Spa & Resort,Taman Ayung,,29/07/2024,,,,1,70374000,0,35187000,0,,,Hotel
Taurus Gemilang,Revolver Taurus,,15/01/2024,,,,,12598500,,,0,,,Restaurant
Taurus Gemilang,Revolver Taurus,,31/05/2024,,,,1,52292100,0,52292100,0,,,Restaurant
Taurus Gemilang,Revolver Taurus,,30/09/2024,,,,1,394050,394050,0,0,,,Restaurant
Tanjung Benoa Indonesia,Holiday in Benoa,7981,17/12/2024,22/01/2025,21/01/2025,Local,1,1248750,0,0,15,Bali,,Hotel
Tanjung Benoa Indonesia,Holiday in Benoa,-,02/01/2024,31/01/2024,,Local,,10200900,,,108,Bali,,Hotel
Tanjung Benoa Indonesia,Holiday in Benoa,11651,17/12/2024,28/02/2025,28/02/2025,Local,1,29992200,0,14996100,236,Bali,,Hotel
Tanjung Benoa Indonesia,Holiday in Benoa,13942,21/03/2025,30/06/2025,20/06/2025,Local,1,10389600,0,5194800,36,Bali,,Hotel
Tanjung Benoa Indonesia,Holiday in Benoa,11620,17/12/2024,28/02/2025,28/02/2025,Local,1,46553400,0,23276700,216,Bali,,Hotel
Tanadewa Resort & Spa Ubud,Tanadewa Resort & Spa Ubud,,10/07/2024,,,,1,42757200,0,21378600,0,,,Hotel
Tanadewa Resort & Spa Ubud,Tanadewa Resort & Spa Ubud,P250224001-REPRINT1,26/02/2025,30/04/2025,29/04/2025,Local,1,42757200,0,21378600,168,,,Hotel
Tabula Rasa,Swe Development Lombok,-,21/02/2025,30/04/2025,22/05/2025,Local,1,51481800,0,50482800,246,,,Hotel
Tabula Rasa,Swe Development Lombok,-,21/02/2025,30/04/2025,22/05/2025,Local,1,24375600,0,50482800,144,,,Hotel
Tabula Rasa,Swe Development Lombok,-,21/02/2025,30/04/2025,22/05/2025,Local,1,25108200,0,50482800,96,,,Hotel
Tabula Rasa,Swe Development Lombok,,26/12/2024,,,,1,5106000,5106000,0,0,,,Hotel
Sutera Bali,Mamasan Dimsum,,01/02/2024,,,,,3663000,,,0,,,Restaurant
Sutera Bali,Mamasan,,09/05/2024,,,,1,7059600,0,3529800,0,,,Restaurant
Sutera Bali,Mamasan,,15/04/2024,,,,1,25308000,0,12654000,0,,,Restaurant
