invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type
000030-024170-20240508-000447,08/May/24,Marina Bay Sands,MBS,"7,740.00",Hotel,Export
3.09304E+21,10/Mar/25,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,"2,150.00",Hotel,Export
004817#08010000025220250201000912,01/Feb/25,AL GHALIA W.L.L,Jihad,"1,016.60",Agent,Export
005/KEVALA/OUT/III/2024,01/Jun/24,Six Senses Amaala,Amaala,0,Hotel,Export
006830#00003002238320250212043298,13/Feb/25,Renarte General Trading LLC,Renarte,984,Agent,Export
007293#00003001310720250217999361,17/Feb/25,AL GHALIA W.L.L,Jihad,"27,910.96",Agent,Export
008364#00003000248020250116230774,16/Jan/25,Anna Kersova,Anna Kersova,"15,095.40",Personal,Export
009073#00003093043220250226000022,26/Feb/25,W Hotel Maldives,W Hotel Maldives,"11,732.50",Hotel,Export
011453#00003093043220250312000024,12/Mar/25,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"16,602.21",Hotel,Export
012253#00003043528320250317441048,17/Mar/25,Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,"1,885.00",Hotel,Export
012771#00003002480120250319999362,20/Mar/25,Hilton London (Smeeta),Smeeta,"4,305.00",Hotel,Export
016548#00003002480120250130203887,30/Jan/25,NEW TOP LIMITED,Capella Taipei,"36,266.25",Hotel,Export
017/KEVALA/OUT/I/2024,22/Jan/24,MG Hotel Supplies LLC,MG Hotel,58.85,Agent,Export
017247#00003082730020250130002169,31/Jan/25,Mactan Seascapes Service INC (Crimson),Crimson / Boracay,"24,048.88",Hotel,Export
029548#00003053053920250217000167,18/Feb/25,"Hai Ha Handicraft Co., Ltd",Hai Ha,"8,584.00",Hotel,Export
033649#07010000120720250220000033,24/Feb/25,Boma Beach Club,Boma Beach Club,"26,432.33",Restaurant,Local
041452#00003002206820250306441117,06/Mar/25,GFH Ventures Company WLL,Raffles Bahrain/Al Areen Palace & Spa by Accor,"102,722.40",Hotel,Export
053730#00003002206920250321999366,21/Mar/25,Reef Hospitality Solutions and Trading Company,Sindalah,"35,216.12",Hotel,Export
138197#00003002480120250320999363,20/Mar/25,Beyond Bamboo (Six Senses London),Six Senses London,"21,791.00",Hotel,Export
621023#08010000025220240605004304,05/Jun/24,MG Hotel Supplies LLC,MG Hotel,348,Agent,Export
622043#00003093043220240611000050,12/Jun/24,Patina Maldives Fari Islands,Patina Maldives,900,Hotel,Export
622939#00003003017320240613000118,19/Jun/24,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"2,496.00",Hotel,Export
624401#08010000025220240627004962,27/Jun/24,Sequitur Resorts Pty Limited (Six Senses Fiji),Six Senses Fiji,"1,100.00",Hotel,Export
625382#00003093043220240703000059,03/Jul/24,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"1,410.00",Hotel,Export
625384#00003093043220240703000060,03/Jul/24,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"3,240.00",Hotel,Export
626936#08010000025220240711005350,12/Jul/24,Kathryn Grant,Kathryn Grant,54.2,Umum,Export
628877#08010000025220240724005723,24/Jul/24,Nae UM,Nae UM,500,Restaurant,Export
630175#00003073291420240801000224,02/Aug/24,Southern Dunes Operations & Maintenance Co.,Six Sense Dunes/The Parker Company,"2,355.60",Hotel,Export
635894#00003001310720240906001162,06/Sep/24,Omer Faruk Yunus,Six Senses Turkey,144,Hotel,Export
636790#00003002207220240913800127,13/Sep/24,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"15,512.00",Hotel,Export
636868#00003002238320240911042001,13/Sep/24,MG Hotel Supplies LLC,MG Hotel,"5,092.00",Agent,Export
638921#08010000025220240928007439,30/Sep/24,Beyond Bamboo (Six Senses London),Six Senses London,"1,546.50",Hotel,Export
638925#08010000076620240917001918,30/Sep/24,Spirit Real-Estate Development Company,Grand Hyatt Kuwait,"11,400.00",Hotel,Export
638928#08010000025220240927007420,30/Sep/24,Southern Dunes Operations & Maintenance Co.,Six Sense Dunes/The Parker Company,412.5,Hotel,Export
638933#08010000025220240927007424,30/Sep/24,Jeffrey Grimes,Jeffrey Grimes,"2,673.00",Personal,Export
639896#00003001363120241007010360,07/Oct/24,Ali Bey Malidives Pvt. Ltd. (Joali Muravandhoo),Joali Muravandhoo,"7,686.00",Hotel,Export
640104#08010000025220241007007699,08/Oct/24,Jayasom Amaala,Jayasom Amaala,"1,076.50",Hotel,Export
640571#00003001364420241011000200,11/Oct/24,Fieldcrest Enterprise,Raffless Singapore (USD),146.06,Agent,Export
642776#08010000076620241028001926,29/Oct/24,Kiros Hospitality Solutions Pvt. Ltd.,Kiros,"2,760.50",Hotel,Export
643126#08010000025220241030008482,31/Oct/24,Beyond Bamboo (Six Senses London),Six Senses London,124.5,Hotel,Export
645773#00003001310720241115001520,16/Nov/24,Furnish Hospitality,Furnish Hospitality,83.28,Hotel,Export
646223#00003001813220241119201865,19/Nov/24,Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,"1,500.00",Hotel,Export
648906#00003002914220241204100076,04/Dec/24,"Hai Ha Handicraft Co., Ltd",Hai Ha,750,Hotel,Export
650960#00003002386620241216800233,16/Dec/24,Rosewood Hotel Doha,Royal Hospitality Co W.L.L,"9,425.00",Hotel,Export
651667#00003071543520241219000637,20/Dec/24,Jwo Holdings Pte Ltd,Janice Wong / W Sydney,"1,225.00",Hotel,Export
651821#00003031712320241219000195,21/Dec/24,Reef Hospitality Solutions and Trading Company,Sindalah,"126,012.20",Hotel,Export
652747#00003002217320241227000975,30/Dec/24,"Hai Ha Handicraft Co., Ltd",Hai Ha,"12,634.00",Hotel,Export
706457#00003002454520240626001065,28/Jun/24,Mactan Seascapes Service INC (Crimson),Crimson / Boracay,780,Hotel,Export
715137#00003002417020240711000662,12/Jul/24,Fieldcrest Enterprise,Raffless Singapore (USD),"21,481.50",Agent,Export
721330#00003083446020240719202139,23/Jul/24,"Mimosa Cityscapes, INC.","Mimosa Cityscapes, INC.","4,652.50",Restaurant,Export
729751#00003092346520240802001883,05/Aug/24,Capella Sydney,Brasserie 1938 Capella Sydney (HPG International H,"10,065.00",Hotel,Export
741139#00003002417020240821000780,21/Aug/24,Fieldcrest Enterprise,Raffless Singapore (USD),"3,855.00",Agent,Export
755890#07010000120720240911000025,12/Sep/24,RADHAT AL JABAL LLC (Hotel Indigo Jabal Akhdar Resort & Spa),Indigo Oman,"43,370.50",Hotel,Export
767908#00003002454520240930001562,30/Sep/24,The Ritz Carlton Bahrain,The Ritz Carlton Bahrain,"13,950.00",Hotel,Export
778369#00003002845820241015001069,16/Oct/24,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,"5,075.00",Hotel,Export
779654#00003031712320241015000163,17/Oct/24,Reef Hospitality Solutions and Trading Company,Sindalah,"195,880.81",Hotel,Export
790212#00003002454520241030001718,01/Nov/24,Mactan Seascapes Service INC (Crimson),Crimson / Boracay,"9,325.00",Hotel,Export
810300#00003083446020241116203301,02/Dec/24,Leisure Ventures Langkawi Sdn Bhd,Four Seasons Resort Langkawi,"10,098.00",Hotel,Export
816888#00003002845820241210001467,11/Dec/24,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,"6,796.00",Hotel,Export
822322#00003002791820241218000081,19/Dec/24,ASL UK Ltd,Six Senses London - Link,"15,015.00",Hotel,Export
922634#00003001590820231206000077,02/Jan/24,Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,"16,800.00",Hotel,Export
HOME-00001/KEVALA/OUT/01/2025,31/Jan/25,Kevala Keramik Bali,KKB,"38,235,032.00",Umum,Local
HOME-00001/KEVALA/OUT/02/2025,28/Feb/25,Kevala Keramik Bali,KKB,"67,100,458.00",Umum,Local
HOME-00001/KEVALA/OUT/03/2025,28/Feb/25,Kevala Keramik Bali,KKB,"74,512,242.00",Umum,Local
HOME-00001/KEVALA/OUT/04/2025,31/Mar/25,Kevala Keramik Bali,KKB,"66,300,237.00",Umum,Local
HOME-00002/KEVALA/OUT/01/2025,31/Jan/25,Kevala Keramik Bali,KKB,"37,185,800.00",Umum,Local
HOME-00002/KEVALA/OUT/02/2025,28/Feb/25,Kevala Keramik Bali,KKB,"49,952,294.00",Umum,Local
HOME-00002/KEVALA/OUT/04/2025,31/Mar/25,Kevala Keramik Bali,KKB,"53,941,369.00",Umum,Local
HOME-00003/KEVALA/OUT/01/2025,31/Jan/25,Kevala Keramik Bali,KKB,"66,618,933.00",Umum,Local
HOME-00003/KEVALA/OUT/02/2025,28/Feb/25,Kevala Keramik Bali,KKB,"22,181,998.00",Umum,Local
HOME-00003/KEVALA/OUT/04/2025,31/Mar/25,Kevala Keramik Bali,KKB,"33,820,832.00",Umum,Local
HOME-00004/KEVALA/OUT/01/2025,31/Jan/25,Kevala Keramik Bali,KKB,"75,967,501.00",Umum,Local
HOME-00004/KEVALA/OUT/02/2025,28/Feb/25,Kevala Keramik Bali,KKB,"30,245,899.00",Umum,Local
HOME-00004/KEVALA/OUT/04/2025,31/Mar/25,Kevala Keramik Bali,KKB,"87,523,973.00",Umum,Local
HOME-00005/KEVALA/OUT/01/2025,31/Jan/25,Kevala Keramik Bali,KKB,"31,796,949.00",Umum,Local
HOME-00005/KEVALA/OUT/04/2025,31/Mar/25,Kevala Keramik Bali,KKB,"15,127,988.00",Umum,Local
INV-00003/KEVALA/OUT/02/2025,04/Feb/25,"Loka Neka Jaya, PT",Locavore NXT,"10,545,000.00",Restaurant,Local
INV-00003/KEVALA/OUT/03/2025,05/Mar/25,Ginger Moon,Ginger Moon,"4,928,400.00",Restaurant,Local
INV-00004/KEVALA/OUT/02/2025,05/Feb/25,Bali Bounty,Kudeta,"6,993,000.00",Restaurant,Local
INV-00004/KEVALA/OUT/03/2025,06/Mar/25,"Pasar Tani Indoguna, CV",Pasar Tani Indoguna,"11,177,700.00",Umum,Umum
INV-00005/KEVALA/OUT/03/2025,06/Mar/25,"Pasar Tani Indoguna, CV",Pasar Tani Indoguna,"11,177,700.00",Umum,Umum
INV-00006/KEVALA/OUT/03/2025,06/Mar/25,"Bali Boga Utama, CV",Bali Boga Utama,"11,177,700.00",Restaurant,Umum
INV-00007/KEVALA/OUT/03/2025,06/Mar/25,"Makasar Boga Utama, CV",Makasar Boga Utama,"11,177,700.00",Restaurant,Umum
INV-00008/KEVALA/OUT/03/2025,06/Mar/25,"Cipaku Boga Utama, CV",Cipaku Boga Utama,"22,355,400.00",Restaurant,Umum
INV-00012/KEVALA/OUT/03/2025,07/Mar/25,Jen,Jennifer,"47,397,000.00",Personal,Local
INV-00013/KEVALA/OUT/03/2025,07/Mar/25,Hotel Pandan Arum,Maya Ubud,"16,924,725.00",Hotel,Local
INV-00014/KEVALA/OUT/02/2025,10/Feb/25,Harmoni Cakrawala Bali,Mandarin Oriental Bali,"26,356,950.00",Hotel,Local
INV-00015/KEVALA/OUT/02/2025,10/Feb/25,Harmoni Cakrawala Bali,Mandarin Oriental Bali,"1,098,900.00",Hotel,Local
INV-00015/KEVALA/OUT/03/2025,10/Mar/25,Paola Buendia,Paola Buendia,"4,795,200.00",Personal,Local
