invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type
000030-024170-20240508-000447,08 May 2024,Marina Bay Sands,MBS,"7,740.",Hotel,Export
00003093043220250310000023,10 Mar 2025,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,"2,150.",Hotel,Export
004817#08010000025220250201000912,01 Feb 2025,AL GHALIA W.L.L,Jihad,"1,016.6",Agent,Export
005/KEVALA/OUT/III/2024,01 Jun 2024,Six Senses Amaala,Amaala,0.,Hotel,Export
006830#00003002238320250212043298,13 Feb 2025,Renarte General Trading LLC,Renarte,984.,Agent,Export
007293#00003001310720250217999361,17 Feb 2025,AL GHALIA W.L.L,Jihad,"27,910.96",Agent,Export
008364#00003000248020250116230774,16 Jan 2025,Anna Kersova,Anna Kersova,"15,095.4",Personal,Export
009073#00003093043220250226000022,26 Feb 2025,W Hotel Maldives,W Hotel Maldives,"11,732.5",Hotel,Export
011453#00003093043220250312000024,12 Mar 2025,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"16,602.21",Hotel,Export
012253#00003043528320250317441048,17 Mar 2025,Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,"1,885.",Hotel,Export
012771#00003002480120250319999362,20 Mar 2025,Hilton London (Smeeta),Smeeta,"4,305.",Hotel,Export
015073#00003002480120250403999367,03 Apr 2025,Four Season Resort Maldives,Four Season Maldives,"1,860.",Hotel,Export
016548#00003002480120250130203887,30 Jan 2025,NEW TOP LIMITED,Capella Taipei,"36,266.25",Hotel,Export
017/KEVALA/OUT/I/2024,22 Jan 2024,MG Hotel Supplies LLC,MG Hotel,58.85,Agent,Export
017247#00003082730020250130002169,31 Jan 2025,Mactan Seascapes Service INC (Crimson),Crimson / Boracay,"24,048.88",Hotel,Export
017634#00003002480120250417999368,19 Apr 2025,Beyond Bamboo (Six Senses London),Six Senses London,"11,896.",Hotel,Export
019640#00003002914220250430999977,21 Apr 2025,MG Hotel Supplies LLC,MG Hotel,276.,Agent,Export
024295#00003002480120250526999978,26 May 2025,Four Season Resort Maldives,Four Season Maldives,"1,770.",Hotel,Export
024532#00003071543520250527000366,29 Jan 2024,Range Developments MSD Limited (Six Sense Grenada),Six Sense Grenada,450.,Hotel,Export
029548#00003053053920250217000167,18 Feb 2025,"Hai Ha Handicraft Co., Ltd",Hai Ha,"8,584.",Hotel,Export
033649#07010000120720250220000033,24 Feb 2025,Boma Beach Club,Boma Beach Club,"26,432.33",Restaurant,Local
041452#00003002206820250306441117,06 Mar 2025,GFH Ventures Company WLL,Raffles Bahrain/Al Areen Palace & Spa by Accor,"102,722.4",Hotel,Export
053730#00003002206920250321999366,21 Mar 2025,Reef Hospitality Solutions and Trading Company,Sindalah,"35,216.12",Hotel,Export
059520#00003003017320250409250240,10 Apr 2025,Six Senses Con Dao,Six Senses Con Dao,"5,261.",Hotel,Export
088188#00003002480120250520002598,12 May 2025,"RPB Investment Co., Ltd.",Six Sense Krabey Island Cambodia,"4,561.",Export,Export
138197#00003002480120250320999363,20 Mar 2025,Beyond Bamboo (Six Senses London),Six Senses London,"21,791.",Hotel,Export
621023#08010000025220240605004304,05 Jun 2024,MG Hotel Supplies LLC,MG Hotel,348.,Agent,Export
622043#00003093043220240611000050,12 Jun 2024,Patina Maldives Fari Islands,Patina Maldives,900.,Hotel,Export
622939#00003003017320240613000118,19 Jun 2024,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"2,496.",Hotel,Export
624401#08010000025220240627004962,27 Jun 2024,Sequitur Resorts Pty Limited (Six Senses Fiji),Six Senses Fiji,"1,100.",Hotel,Export
625382#00003093043220240703000059,03 Jul 2024,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"1,410.",Hotel,Export
625384#00003093043220240703000060,03 Jul 2024,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"3,240.",Hotel,Export
626936#08010000025220240711005350,12 Jul 2024,Kathryn Grant,Kathryn Grant,54.2,Umum,Export
628877#08010000025220240724005723,24 Jul 2024,Nae UM,Nae UM,500.,Restaurant,Export
630175#00003073291420240801000224,02 Aug 2024,Southern Dunes Operations & Maintenance Co.,Six Sense Dunes/The Parker Company,"2,355.6",Hotel,Export
635894#00003001310720240906001162,06 Sep 2024,Omer Faruk Yunus,Six Senses Turkey,144.,Hotel,Export
636790#00003002207220240913800127,13 Sep 2024,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"15,512.",Hotel,Export
636868#00003002238320240911042001,13 Sep 2024,MG Hotel Supplies LLC,MG Hotel,"5,092.",Agent,Export
638921#08010000025220240928007439,30 Sep 2024,Beyond Bamboo (Six Senses London),Six Senses London,"1,546.5",Hotel,Export
638925#08010000076620240917001918,30 Sep 2024,Spirit Real-Estate Development Company,Grand Hyatt Kuwait,"11,400.",Hotel,Export
638928#08010000025220240927007420,30 Sep 2024,Southern Dunes Operations & Maintenance Co.,Six Sense Dunes/The Parker Company,412.5,Hotel,Export
638933#08010000025220240927007424,30 Sep 2024,Jeffrey Grimes,Jeffrey Grimes,"2,673.",Personal,Export
639896#00003001363120241007010360,07 Oct 2024,Ali Bey Malidives Pvt. Ltd. (Joali Muravandhoo),Joali Muravandhoo,"7,686.",Hotel,Export
640104#08010000025220241007007699,08 Oct 2024,Jayasom Amaala,Jayasom Amaala,"1,076.5",Hotel,Export
640571#00003001364420241011000200,11 Oct 2024,Fieldcrest Enterprise,Raffless Singapore (USD),146.06,Agent,Export
642776#08010000076620241028001926,29 Oct 2024,Kiros Hospitality Solutions Pvt. Ltd.,Kiros,"2,760.5",Hotel,Export
643126#08010000025220241030008482,31 Oct 2024,Beyond Bamboo (Six Senses London),Six Senses London,124.5,Hotel,Export
645773#00003001310720241115001520,16 Nov 2024,Furnish Hospitality,Furnish Hospitality,83.28,Hotel,Export
646223#00003001813220241119201865,19 Nov 2024,Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,"1,500.",Hotel,Export
648906#00003002914220241204100076,04 Dec 2024,"Hai Ha Handicraft Co., Ltd",Hai Ha,750.,Hotel,Export
650960#00003002386620241216800233,16 Dec 2024,Rosewood Hotel Doha,Royal Hospitality Co W.L.L,"9,425.",Hotel,Export
651667#00003071543520241219000637,20 Dec 2024,Jwo Holdings Pte Ltd,Janice Wong / W Sydney,"1,225.",Hotel,Export
651821#00003031712320241219000195,21 Dec 2024,Reef Hospitality Solutions and Trading Company,Sindalah,"126,012.2",Hotel,Export
652747#00003002217320241227000975,30 Dec 2024,"Hai Ha Handicraft Co., Ltd",Hai Ha,"12,634.",Hotel,Export
706457#00003002454520240626001065,28 Jun 2024,Mactan Seascapes Service INC (Crimson),Crimson / Boracay,780.,Hotel,Export
715137#00003002417020240711000662,12 Jul 2024,Fieldcrest Enterprise,Raffless Singapore (USD),"21,481.5",Agent,Export
721330#00003083446020240719202139,23 Jul 2024,"Mimosa Cityscapes, INC.","Mimosa Cityscapes, INC.","4,652.5",Restaurant,Export
729751#00003092346520240802001883,05 Aug 2024,Capella Sydney,Brasserie 1938 Capella Sydney (HPG International H,"10,065.",Hotel,Export
741139#00003002417020240821000780,21 Aug 2024,Fieldcrest Enterprise,Raffless Singapore (USD),"3,855.",Agent,Export
755890#07010000120720240911000025,12 Sep 2024,RADHAT AL JABAL LLC (Hotel Indigo Jabal Akhdar Resort & Spa),Indigo Oman,"43,370.5",Hotel,Export
76343,14 Feb 2023,Anaamaya Resort Seminyak,Alila Seminyak,"7,385,000.",Hotel,Local
767908#00003002454520240930001562,30 Sep 2024,The Ritz Carlton Bahrain,The Ritz Carlton Bahrain,"13,950.",Hotel,Export
77419,10 Jan 2023,Anaamaya Resort Seminyak,Alila Seminyak,"5,450,130.",Hotel,Local
77419-1,26 Jan 2023,Anaamaya Resort Seminyak,Alila Seminyak,"5,258,120.",Hotel,Local
77421,10 Jan 2023,Anaamaya Resort Seminyak,Alila Seminyak,"48,983,650.",Hotel,Local
77421-1,27 Jan 2023,Anaamaya Resort Seminyak,Alila Seminyak,"17,920,230.",Hotel,Local
77421-2,08 Feb 2023,Anaamaya Resort Seminyak,Alila Seminyak,"3,411,870.",Hotel,Local
778369#00003002845820241015001069,16 Oct 2024,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,"5,075.",Hotel,Export
779654#00003031712320241015000163,17 Oct 2024,Reef Hospitality Solutions and Trading Company,Sindalah,"195,880.81",Hotel,Export
790212#00003002454520241030001718,01 Nov 2024,Mactan Seascapes Service INC (Crimson),Crimson / Boracay,"9,325.",Hotel,Export
810300#00003083446020241116203301,02 Dec 2024,Leisure Ventures Langkawi Sdn Bhd,Four Seasons Resort Langkawi,"10,098.",Hotel,Export
816888#00003002845820241210001467,11 Dec 2024,"CPRC (Maldives) Pvt, Ltd (Ritz Carlton Maldives)",Ritz Carlton Maldives,"6,796.",Hotel,Export
822322#00003002791820241218000081,19 Dec 2024,ASL UK Ltd,Six Senses London - Link,"15,015.",Hotel,Export
887,06 Jan 2023,Amanda Arumdhani,Four Season Sayan,"54,171,679.",Hotel,Local
888,06 Jan 2023,Amanda Arumdhani,Four Season Sayan,"10,919,275.",Hotel,Local
898,11 Jan 2023,Amanda Arumdhani,Four Season Sayan,"52,051,905.05",Hotel,Local
901,12 Jan 2023,Amanda Arumdhani,Four Season Sayan,"7,095,930.",Hotel,Local
922634#00003001590820231206000077,02 Jan 2024,Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,"16,800.",Hotel,Export
927,03 Feb 2023,Amanda Arumdhani,Four Season Sayan,"16,261,539.95",Hotel,Local
HOME-00001/KEVALA/OUT/01/2025,31 Jan 2025,Kevala Keramik Bali,KKB,"38,235,032.",Umum,Local
HOME-00001/KEVALA/OUT/02/2025,28 Feb 2025,Kevala Keramik Bali,KKB,"67,100,458.",Umum,Local
HOME-00001/KEVALA/OUT/03/2025,28 Feb 2025,Kevala Keramik Bali,KKB,"74,512,242.",Umum,Local
HOME-00001/KEVALA/OUT/04/2025,31 Mar 2025,Kevala Keramik Bali,KKB,"66,300,237.",Umum,Local
HOME-00001/KEVALA/OUT/05/2025,30 Apr 2025,Kevala Keramik Bali,KKB,"80,316,890.",Umum,Local
HOME-00001/KEVALA/OUT/06/2025,31 May 2025,Kevala Keramik Bali,KKB,"57,368,935.",Umum,Local
HOME-00002/KEVALA/OUT/01/2025,31 Jan 2025,Kevala Keramik Bali,KKB,"37,185,800.",Umum,Local
HOME-00002/KEVALA/OUT/02/2025,28 Feb 2025,Kevala Keramik Bali,KKB,"49,952,294.",Umum,Local
