Order No. by Month,Client Name,PO Number,PO Received, Amount (IDR) Without Tax 11 % , Amount (USD) , Amount (AUD) ,Contact Person,DP Paid,Balance Paid,Total Monthly Amount (IDR),Total Monthly Amount (USD),Total Monthly Amount (AUD)
1,Filinvest - Crimson Resorts and Spa Mactan,POR0000004520,02/Jan/24," IDR 12,071,904 ", USD  780.00 ,,,,,,,
2,Shelter - Pererenan,,02/Jan/24," IDR 15,000,000 ",,,,,,,,
3,Nihi Sumba ,PO202312-09409,03/Jan/24," IDR 30,360,000 ",,,,16/Jan/24,,,,
4,La Brisa - Teapot,PO 8357,04/Jan/24," IDR 5,760,000 ",,,,09/Jan/24,,,,
5,Kala Uluwatu,,04/Jan/24," IDR 149,600,000 ",,,,09/Jan/24,,,,
6,Seniman Coffee,,05/Jan/24," IDR 3,200,000 ",,,,16/Jan/24,,,,
7,Bakerman Ashta,106/PON/006/40/2024,09/Jan/24," IDR 48,600,000 ",,,,11/Jan/24,,,,
8,Suarga,LG/PO/202401/03233,09/Jan/24," IDR 2,250,000 ",,,,11/Jan/24,,,,
9,Bokashi Berawa (Teapot),,09/Jan/24," IDR 3,600,000 ",,,,11/Jan/24,,,,
10,Grand Hyatt Jakarta,JAKGH0000185130,10/Jan/24," IDR 24,000,000 ",,,,18/Jan/24,13/Jun/24,,,
11,Grand Hyatt Jakarta,JAKGH0000185452,10/Jan/24," IDR 40,500,000 ",,,,18/Jan/24,,,,
12,Ashley Miller USA,,11/Jan/24,," USD  2,031.00 ",,,09/Jan/24,,,,
13,Bottega,,12/Jan/24," IDR 13,750,000 ",,,,,,,,
14,Alila Villas Uluwatu,PO2478986,12/Jan/24," IDR 33,000,000 ",,,,22/Jan/24,,,,
15,Maya Tree Bar Sanur - Breakfast,P240104061-REPRINT2,12/Jan/24," IDR 69,084,000 ",,,,17/Jan/24,,,,
16,Sijin,,12/Jan/24," IDR 7,840,540 ",,,,12/Jan/24,,,,
17,Sharon Frances,,15/Jan/24," IDR 15,440,000 ",,,,23/Jan/24,,,,
18,Nihi Sumba ,PO 202401-00393,17/Jan/24," IDR 3,360,000 ",,,,23/Jan/24,,,,
19,Renarte,PO 2008C,18/Jan/24," IDR 7,952,188 ", USD  508.80 ,,,01/Feb/24,,,,
20,Maya Tree Bar Sanur - Breakfast Additional,P240116008,18/Jan/24," IDR 10,640,000 ",,,,23/Jan/24,,,,
21,MG Hotel Supplies - Royal Atlantis,PO3003,18/Jan/24,, USD  348.00 ,,,,,,,
22,Optimist Pererenan,,18/Jan/24," IDR 161,975,000 ",,,,19/Jan/24,,,,
23,Regent Canggu - All Day Dining,PO 7876,18/Jan/24," IDR 1,151,987,200 ",,,,16/Feb/24,,,,
24,Mandarin Oriental Muscat - Additional,Sample,23/Jan/24,, USD  283.00 ,,,,13/Feb/24,,,
25,Lombok Lodge,,23/Jan/24," IDR 61,000,000 ",,,,,26/Jan/24,,,
26,La Plancha,,23/Jan/24," IDR 22,500,000 ",,,,,24/Jan/24,,,
27,Pablo Long Time Asian Restaurant ,,23/Jan/24," IDR 134,450,000 ",,,,23/Jan/24,,,,
28,Six Senses Uluwatu (Pump),,24/Jan/24," IDR 20,000,000 ",,,,,,,,
28,Four Season Sayan - IVD and Banquet,UBU0126197,25/Jan/24," IDR 264,275,000 ",,,,12/Feb/24,,,,
28,MBS - Fieldcrest,,30/Jan/24," IDR 119,319,840 "," USD  7,740.00 ",,,, AUD  5.50 ,,,
28,Bali Radiance (Four Season Jakata),,30/Jan/24," IDR 41,200,000 ",,,,,,,,
28,Ayana Rock Bar,2024005519,30/Jan/24," IDR 204,036,250 ",,,,,,,,
28,Ayana Resort (Sald & Pepper),"
2024006965",30/Jan/24," IDR 16,000,000 ",,,,,,,,
28,The Umalas Hotel Signature -  Baka,,31/Jan/24,,,,,,,,,
29,Sheraton Melbourne Hotel,,31/Jan/24," IDR 12,299,040 ", USD  780.00 ,,,31/Jan/24,," IDR 2,705,050,962 "," USD  12,470.80 ", AUD  0
1,Kebun Bistro,,02/Feb/24," IDR 16,720,000 ",,,,07/Feb/24,,,,
2,Grand Hyatt Kuwait - Sample,,05/Feb/24,, USD  80.00 ,,,,,,,
3,Alila Villas Uluwatu,PO24079769,05/Feb/24," IDR 22,728,000 ",,,,,,,,
4,Woo Bo - Additional,,05/Feb/24," IDR 11,700,000 ",,,,05/Feb/24,,,,
5,"Six Senses London (guestroom, spa, foh&boh)",,05/Feb/24,," USD  22,916.00 ",,,,,,,
6,Nusantara Ubud,,06/Feb/24," IDR 22,250,000 ",,,,08/Feb/24,,,,
7,Abisena - Inroom & Amenities,,07/Feb/24," IDR 151,382,500 ",,,,14 Feb - 16 Feb 24,,,,
8,Bodass Dessert Bar,,07/Feb/24," IDR 40,440,000 ",,,,12/Feb/24,,,,
9,Amankila,,08/Feb/24," IDR 14,095,000 ",,,,,07/Feb/24,,,
10,Indigo Bintan - Ocean Beach,PO 024/GAI/I/2024,08/Feb/24," IDR  505,557,000 ",,,,26/Feb/24,29/Jul/24,,,
11,Indigo Bintan - Satay Bar,,," IDR  141,858,000 ",,,,26/Feb/24,29/Jul/24,,,
12,Indigo Bintan - TIKI,,," IDR  52,596,000 ",,,,26/Feb/24,29/Jul/24,,,
13,Indigo Bintan - Chinese Tea,,," IDR  53,766,000 ",,,,26/Feb/24,29/Jul/24,,,
14,Micha Sanubari,,09/Feb/24," IDR 6,750,000 ",,,,13/Feb/24,,,,
15,La Brisa,150124,12/Feb/24," IDR 4,560,000 ",,,,,,,,
16,Bali Good Food Catering,260124,13/Feb/24," IDR 51,120,000 ",,,,27/Feb/24,,,,
17,Ayana After Rock,2024012430,15/Feb/24," IDR 45,000,000 ",,,,,,,,
18,Four Season Hotel Jakarta SPA,JKR0155465,16/Feb/24," IDR 85,310,000 ",,,,25/Apr/24,,,,
19,Filedwork (Sample),150224,16/Feb/24," IDR 1,765,000 ",,,,,,,,
20,Nihi Rote,,21/Feb/24," IDR 35,950,000 ",,,,27/Feb/24,19/Jun/24,,,
21,Blanche Bistro,,22/Feb/24," IDR 18,000,000 ",,,,,,,,
22,Moon Bear - Sample,,23/Feb/24,, USD  173.00 ,,,,,,,
23,Indigo Seminyak,PO27305,23/Feb/24," IDR 8,400,000 ",,,,,,,,
24,Alila Villas Uluwatu,PO24080581,23/Feb/24," IDR 3,840,000 ",,,,14/Mar/24,," IDR 1,293,787,500 "," USD  23,169.00 ",AUD 0
1,Waldorf Astoria Maldives,MLEON48662,01/Mar/24,," USD  1,410.00 ",,,21/Mar/24,19/Jun/24,,,
2,Omma Day Club Bali,,01/Mar/24," IDR 118,512,500 ",,,,29/Feb/24,,,,
3,Bvlgary Bali,DPSBG-OO186065,01/Mar/24," IDR 36,280,500 ",,,,20/Mar/24,,,,
4,Ibu Ming (Elaine),230224,01/Mar/24," IDR 34,420,000 ",,,,,24/May/24,,,
5,Drifter ,,04/Mar/24," IDR 121,460,000 ",,,,06/Mar/24,,,,
6,Langham The Tom's,PO292403-04992,04/Mar/24," IDR 37,000,000 ",,,,,,,,
7,Bali Radiance - FS Jimbaran,12506,05/Mar/24," IDR 110,000,000 ",,,,,,,,
8,Bar Vera Pererenan,50324,06/Mar/24," IDR 19,360,000 ",,,,12/Mar/24,,,,
9,GAB's Gastro Bar,,07/Mar/24," IDR 201,627,000 ",,,,08/Mar/24,,,,
10,Buzo Salazon,,13/Mar/24," IDR 43,740,000 ",,,,14/Mar/24,,,,
11,Shelter - Salt and pepper,,18/Mar/24," IDR 3,300,000 ",,,,,,,,
12,Pan Pacific Hotel (Park Royal) - Keyaki,PO4920000127,18/Mar/24," IDR 809,922,500 ",,,,23/Mar/24,10/Jun/24,,,
13,Alila Seminyak Seasalt - Breakfast & Lunch ,PO00101112,18/Mar/24," IDR 220,250,000 ",,,,19/Mar/24,,,,
14,Alila Seminyak Sesalt - Dinner,PO00101113,18/Mar/24," IDR 142,600,000 ",,,,19/Mar/24,,,,
15,Alila Seminyak Seasalt - Seafood Buffet,PO00101114,18/Mar/24," IDR 36,205,000 ",,,,19/Mar/24,,,,
16,Pablo Long Time Restaurant - Additional,,19/Mar/24," IDR 4,200,000 ",,,,03/Jun/24,,,,
17,The Westin Resort Nusa Dua,PO1DSLV00062942,19/Mar/24," IDR 175,775,000 ",,,,,,,,
18,Shelter Canggu,,20/Mar/24," IDR 178,058,500 ",,,,12/Mar/24,,,,
19,Shelter Pererenan,,20/Mar/24," IDR 14,150,000 ",,,,12/Mar/24,,,,
20,Four Season Jakarta Spa - Additional,,20/Mar/24," IDR 1,380,000 ",,,,,,,,
21,"Indigo Oman (SPA, Inroom and Additional)",PO/IND/137,20/Mar/24,," USD  43,392.50 ",,,01/Apr/24,,,,
22,Locavore Made from Waste,,20/Mar/24," IDR 66,000,000 ",,,,21/Mar/24,,,,
23,Six Senses Kyoto - Additional,240306SSK-KV01,20/Mar/24,, USD  542.50 ,,,05/Apr/24,14/Jun/24,,,
24,Four Season Sayan - Western Breakfast,UBU0126215,21/Mar/24," IDR 24,640,000 ",,,,08/May/24,,,,
25,Patina Home Kitchen - Replacement,PTPO24000905,21/Mar/24,," USD  3,000.00 ",,,,02/May/24,,,
26,Waldorf Astoria Maldives Ithaafushi - In Villa Dining,MLEON49530,21/Mar/24,," USD  2,496.00 ",,,,28/May/24,,,
27,Hugo Boss House Bali,,21/Mar/24,," USD  5,954.04 ",,,22/Mar/24,,,,
28,Hujan Locale ,,25/Mar/24," IDR 5,280,000 ",,,,28/Mar/24,,,,
29,Nusa Dua Beach Hotel - Additional,PO202403-02805,25/Mar/24," IDR 5,040,000 ",,,,28/Mar/24,,,,
30,Andaz Bali,DPSAZ0000037506,25/Mar/24," IDR 21,750,000 ",,,,04/Apr/24,,,,
31,Six Senses Southern Dunes Saudi - Bedouin,P000000000000344,26/Mar/24,," USD  2,355.60 ",,,,,,,
32,Jean Louis Leon - Steak Restaurant,POR0000000503,26/Mar/24,," USD  4,652.50 ",,,,05/Jun/24,,,
33,Capella Singapore,,27/Mar/24,," USD  1,830.00 ",,,22/Apr/24,,,,
34,Hamish & Raisa,,27/Mar/24," IDR 10,085,000 ",,,,,27/Mar/24,,,
